Q: 샤프심만 따로 파나요? -> Keyword: 샤프심 (Latency: 3.771s, Tokens: [P:3159, C:63, T:3222])
Q: 호스 연결하는 커넥터 부품 어디 있어요? -> Keyword: 호스커넥터 (Latency: 2.940s, Tokens: [P:3163, C:77, T:3240])
Q: 전지가위 스프링 빠졌는데 부품 있나요? -> Keyword: 스프링 (Latency: 1.303s, Tokens: [P:3163, C:45, T:3208])
Q: 옷걸이 집게 부분만 따로 파는 거 있어요? -> Keyword: 옷걸이 집게 (Latency: 2.214s, Tokens: [P:3165, C:58, T:3223])
Q: 빨래 건조대 날개 부품만 따로 살 수 있나요? -> Keyword: 빨래 건조대 부품 (Latency: 1.590s, Tokens: [P:3167, C:46, T:3213])
Q: 다리미판 커버만 교체용으로 나오나요? -> Keyword: 다리미판 커버 (Latency: 1.089s, Tokens: [P:3163, C:39, T:3202])
Q: 세탁망 지퍼 손잡이 고장 났는데 고치는 거 있나요? -> Keyword: 지퍼손잡이 교체용품 (Latency: 1.721s, Tokens: [P:3168, C:36, T:3204])
Q: 행거 바퀴 빠졌는데 맞는 거 있을까요? -> Keyword: 행거바퀴 (Latency: 1.089s, Tokens: [P:3163, C:43, T:3206])
Q: 서랍장 손잡이만 예쁜 걸로 바꾸고 싶어요. -> Keyword: 서랍장 손잡이 (Latency: 2.083s, Tokens: [P:3166, C:43, T:3209])
Q: 의자 발 커버 씌우는 거 말고 끼우는 부품 있어요? -> Keyword: 의자발커버 (Latency: 1.573s, Tokens: [P:3170, C:42, T:3212])
Q: 선반 높이 조절하는 나사 부품 어디 있나요? -> Keyword: 나사 (Latency: 1.807s, Tokens: [P:3164, C:65, T:3229])
Q: 멀티탭 덮개만 따로 파나요? -> Keyword: 멀티탭 덮개 (Latency: 1.573s, Tokens: [P:3162, C:44, T:3206])
Q: 형광등 스타터 전구 어디 있어요? -> Keyword: 형광등 스타터 (Latency: 1.893s, Tokens: [P:3160, C:69, T:3229])
Q: LED 등 리모컨만 잃어버렸는데 따로 파나요? -> Keyword: 리모컨 (Latency: 1.194s, Tokens: [P:3166, C:33, T:3199])
Q: 스위치 커버만 바꾸고 싶은데 있나요? -> Keyword: 스위치커버 (Latency: 2.567s, Tokens: [P:3163, C:66, T:3229])
Q: 문 손잡이 부속품 중에 잠금장치만 필요해요. -> Keyword: 잠금장치 (Latency: 1.822s, Tokens: [P:3167, C:53, T:3220])
Q: 경첩 나사 헐거워서 바꾸려는데 나사만 있어요? -> Keyword: 경첩용 나사 (Latency: 1.963s, Tokens: [P:3169, C:91, T:3260])
Q: 창문 방충망 롤러 부품 어디 있나요? -> Keyword: 방충망롤러부품 (Latency: 3.608s, Tokens: [P:3163, C:60, T:3223])
Q: 싱크대 배수구 뚜껑만 잃어버렸어요. -> Keyword: 배수구덮개 (Latency: 1.129s, Tokens: [P:3168, C:28, T:3196])
Q: 음식물 쓰레기통 거름망만 따로 파나요? -> Keyword: 음식물 쓰레기통 거름망 (Latency: 1.916s, Tokens: [P:3165, C:65, T:3230])
Q: 주방세제 펌프 머리 부분만 고장 나서요. -> Keyword: 자동디스펜서 (Latency: 1.373s, Tokens: [P:3166, C:42, T:3208])
Q: 고무장갑 속에 끼는 면장갑만 따로 있나요? -> Keyword: 면장갑 (Latency: 1.155s, Tokens: [P:3167, C:38, T:3205])
Q: 프라이팬 뚜껑 손잡이 나사만 구할 수 있을까요? -> Keyword: 프라이팬 손잡이 나사 (Latency: 1.644s, Tokens: [P:3169, C:66, T:3235])
Q: 냄비 손잡이 뜨거워서 끼우는 실리콘만 있어요? -> Keyword: 실리콘손잡이 (Latency: 1.246s, Tokens: [P:3171, C:33, T:3204])
Q: 밀폐용기 고무 패킹만 따로 파나요? -> Keyword: 밀폐용기 패킹 (Latency: 1.388s, Tokens: [P:3163, C:53, T:3216])
Q: 보온병 뚜껑 고무링 잃어버렸는데 있나요? -> Keyword: 보온병 고무링 (Latency: 2.428s, Tokens: [P:3169, C:81, T:3250])
Q: 물병 빨대 부분만 리필로 나오나요? -> Keyword: 빨대 리필용품 (Latency: 1.443s, Tokens: [P:3161, C:35, T:3196])
Q: 텀블러 바닥에 끼우는 고무만 따로 있어요? -> Keyword: 고무발받침 (Latency: 1.252s, Tokens: [P:3168, C:45, T:3213])
Q: 와인 오프너 스크류 부분만 따로 있나요? -> Keyword: 와인 오프너 (Latency: 2.484s, Tokens: [P:3164, C:90, T:3254])
Q: 칼 갈이 숫돌만 교체할 수 있나요? -> Keyword: 칼갈이기 (Latency: 4.006s, Tokens: [P:3162, C:39, T:3201])
Q: 도마 거치대 물기 받침대만 따로 파나요? -> Keyword: 도마 거치대 (Latency: 1.623s, Tokens: [P:3165, C:59, T:3224])
Q: 일회용 수세미 다 썼는데 리필만 주세요. -> Keyword: 수세미 리필 (Latency: 1.843s, Tokens: [P:3164, C:56, T:3220])
Q: 정수기 필터 교체용 어디 있나요? -> Keyword: 정수기 필터 (Latency: 1.188s, Tokens: [P:3161, C:37, T:3198])
Q: 커피 그라인더 손잡이만 따로 구할 수 있어요? -> Keyword: 그라인더 손잡이 (Latency: 1.554s, Tokens: [P:3166, C:46, T:3212])
Q: 욕실 슬리퍼 바닥만 닳았는데 밑창만 붙이는 거 있나요? -> Keyword: 슬리퍼 밑창 보호대 (Latency: 1.245s, Tokens: [P:3171, C:46, T:3217])
Q: 샤워기 줄 말고 헤드만 따로 파나요? -> Keyword: 샤워기 헤드 (Latency: 2.645s, Tokens: [P:3164, C:78, T:3242])
Q: 변기 솔 머리만 교체해서 쓰고 싶은데요. -> Keyword: 변기솔 교체용 헤드 (Latency: 1.260s, Tokens: [P:3164, C:47, T:3211])
Q: 칫솔 걸이 흡착판만 자꾸 떨어져서 그것만 사고 싶어요. -> Keyword: 흡착후크 (Latency: 1.621s, Tokens: [P:3170, C:69, T:3239])
Q: 비누 받침대 물 빠지는 구멍 마개만 있나요? -> Keyword: 비누받침대 (Latency: 0.787s, Tokens: [P:3166, C:25, T:3191])
Q: 휴지 걸이 봉만 잃어버렸는데 따로 파나요? -> Keyword: 휴지걸이봉 (Latency: 1.996s, Tokens: [P:3166, C:76, T:3242])
Q: 수건 걸이 나사 없이 붙이는 스티커만 리필 있나요? -> Keyword: 흡착후크 (Latency: 1.773s, Tokens: [P:3167, C:34, T:3201])
Q: 욕조 배수구 마개만 따로 어디 있어요? -> Keyword: 배수구마개 (Latency: 1.015s, Tokens: [P:3163, C:27, T:3190])
Q: 세면대 팝업 뚜껑만 교체하고 싶어요. -> Keyword: 배수구덮개 (Latency: 2.091s, Tokens: [P:3167, C:54, T:3221])
Q: 샴푸 디스펜서 펌프만 따로 파는 거 있나요? -> Keyword: 자동디스펜서 (Latency: 1.822s, Tokens: [P:3169, C:41, T:3210])
Q: 면도기 날만 리필용으로 어디 있나요? -> Keyword: 면도기 날 리필 (Latency: 1.887s, Tokens: [P:3162, C:50, T:3212])
Q: 전동 칫솔 모만 교체용으로 있나요? -> Keyword: 전동 칫솔모 (Latency: 3.356s, Tokens: [P:3163, C:53, T:3216])
Q: 화장솜 케이스 뚜껑만 깨졌는데 뚜껑만 파나요? -> Keyword: 화장솜 케이스 (Latency: 1.612s, Tokens: [P:3174, C:48, T:3222])
Q: 쿠션 퍼프만 따로 여러 개 묶어 파나요? -> Keyword: 분할케이스 (Latency: 1.577s, Tokens: [P:3164, C:42, T:3206])
Q: 뷰러 고무 패킹만 리필 있나요? -> Keyword: 뷰러 고무패킹 (Latency: 2.224s, Tokens: [P:3161, C:76, T:3237])
Q: 아이라이너 붓 끝만 갈아 끼울 수 있나요? -> Keyword: 아이라이너 리필 붓 (Latency: 1.191s, Tokens: [P:3166, C:40, T:3206])
Q: 립스틱 공병만 따로 파는 거 있어요? -> Keyword: 립스틱 정리함 (Latency: 1.163s, Tokens: [P:3163, C:31, T:3194])
Q: 헤어 드라이어 앞주둥이 부품만 잃어버렸어요. -> Keyword: 헤어 드라이어 부품 (Latency: 1.950s, Tokens: [P:3169, C:48, T:3217])
Q: 고데기 열 판 보호하는 캡만 따로 있나요? -> Keyword: 고데기 보호캡 (Latency: 1.750s, Tokens: [P:3164, C:37, T:3201])
Q: 머리빗 솔 부분 빠졌는데 끼우는 거 있나요? -> Keyword: 머리빗 수리용 부품 (Latency: 1.814s, Tokens: [P:3166, C:51, T:3217])
Q: 네일 리무버 펌프 용기 펌프만 필요해요. -> Keyword: 펌프 용기 (Latency: 4.035s, Tokens: [P:3167, C:67, T:3234])
Q: 마스크 스트랩 고리 부품만 따로 파나요? -> Keyword: 마스크 스트랩 고리 (Latency: 1.045s, Tokens: [P:3163, C:36, T:3199])
Q: 안경 나사 조이는 키트 말고 나사만 모아 둔 거 있어요? -> Keyword: 나사정리함 (Latency: 1.402s, Tokens: [P:3170, C:48, T:3218])
Q: 우산 살 부러졌는데 수리 키트 있나요? -> Keyword: 우산 수리 키트 (Latency: 2.777s, Tokens: [P:3163, C:64, T:3227])
Q: 신발 끈 끝에 끼우는 팁만 따로 파나요? -> Keyword: 신발끈팁 (Latency: 2.562s, Tokens: [P:3167, C:64, T:3231])
Q: 가방 끈 조절하는 버클만 깨졌는데 있나요? -> Keyword: 가방버클 (Latency: 1.794s, Tokens: [P:3165, C:59, T:3224])
Q: 캐리어 바퀴 커버만 따로 씌우는 거 있죠? -> Keyword: 캐리어 바퀴 커버 (Latency: 1.699s, Tokens: [P:3168, C:32, T:3200])
Q: 지퍼 손잡이 고장 나서 고거만 달고 싶어요. -> Keyword: 지퍼손잡이 (Latency: 1.822s, Tokens: [P:3166, C:52, T:3218])
Q: 에어팟 이어팁 잃어버렸는데 사이즈별로 있나요? -> Keyword: 이어폰케이스 (Latency: 1.450s, Tokens: [P:3169, C:47, T:3216])
Q: 핸드폰 충전기 케이블 말고 어댑터만 따로 파나요? -> Keyword: 충전기 어댑터 (Latency: 1.921s, Tokens: [P:3171, C:77, T:3248])
Q: 마우스 건전지 뚜껑 잃어버렸는데 뚜껑만 있나요? -> Keyword: 건전지 케이스 (Latency: 2.620s, Tokens: [P:3175, C:87, T:3262])
Q: 키보드 키캡 몇 개만 바꾸고 싶은데 낱개로 파나요? -> Keyword: 키보드 키캡 (Latency: 2.079s, Tokens: [P:3170, C:74, T:3244])
Q: 모니터 받침대 미끄럼 방지 고무만 떨어졌어요. -> Keyword: 미끄럼방지패드 (Latency: 1.181s, Tokens: [P:3167, C:30, T:3197])
Q: 차량용 방향제 리필 오일만 어디 있어요? -> Keyword: 차량용 방향제 리필 오일 (Latency: 1.255s, Tokens: [P:3163, C:29, T:3192])
Q: 와이퍼 고무 날만 교체하고 싶은데요. -> Keyword: 와이퍼 고무 날 교체용 고무 날 (Latency: 1.266s, Tokens: [P:3163, C:51, T:3214])
Q: 자동차 키 배터리 교체하는데 배터리만 있나요? -> Keyword: 자동차 키 배터리 (Latency: 1.404s, Tokens: [P:3166, C:40, T:3206])
Q: 블랙박스 접착 스티커만 따로 파나요? -> Keyword: 접착스티커 (Latency: 1.908s, Tokens: [P:3164, C:62, T:3226])
Q: 텐트 폴대 끈 끊어졌는데 끈만 있어요? -> Keyword: 텐트 폴대 수리용 끈 (Latency: 1.900s, Tokens: [P:3167, C:53, T:3220])
Q: 캠핑 의자 고무 발만 빠졌는데 있나요? -> Keyword: 의자발커버 (Latency: 1.401s, Tokens: [P:3164, C:39, T:3203])
Q: 랜턴 심지만 리필로 파는 거 어디 있어요? -> Keyword: 랜턴심지 (Latency: 1.139s, Tokens: [P:3163, C:37, T:3200])
Q: 낚싯대 초리대 부품만 따로 있나요? -> Keyword: 분할케이스 (Latency: 1.139s, Tokens: [P:3165, C:35, T:3200])
Q: 자전거 브레이크 패드만 교체하려고요. -> Keyword: 자전거 브레이크 패드 (Latency: 1.693s, Tokens: [P:3164, C:79, T:3243])
Q: 킥보드 손잡이 고무만 끈적해서 바꾸고 싶어요. -> Keyword: 고무손잡이 (Latency: 1.990s, Tokens: [P:3169, C:69, T:3238])
Q: 배드민턴 셔틀콕 깃털 말고 앞부분만 있는 연습용 있나요? -> Keyword: 연습용 셔틀콕 (Latency: 3.111s, Tokens: [P:3173, C:98, T:3271])
