keyword;expanded_keywords;expanded_count;latency_ms;total_tokens;prompt_tokens;completion_tokens;error
장난감 정리 박스;"장난감 수납함; 장난감 정리함; 아이 장난감 정리 박스; 플라스틱 수납 상자; 장난감 보관 박스; 장난감 정리 수납 상자; 어린이 장난감 수납; 정리 정돈 용품; 장난감 정리 수납함; 실용적인 수납 박스";10;2357.27;216;104;112;
고리;"링; 고리 제품; 장식 고리; 고리 잠금 장치; 오링; 후크; 장식용 고리; 클립; 분리 고리; 소품 고리";10;1902.09;171;99;72;
점착제;"접착제; 풀; 글루; 테이프; 양면테이프; 분말접착제; 투명접착제; 스프레이 접착제; 스틱 접착제; DIY 접착제";10;1637.06;178;100;78;
제습제;"습기 제거제; 제습 팩; 탈습제; 냉장고 제습제; 욕실 제습제; 공기청정기; 제습 도구; 소형 제습기; 흡습제; 제습 시트";10;2428.23;183;100;83;
화장품 공병;"화장품 용기; 비어 있는 화장품 병; 화장품 보관 용기; 여행용 화장품 용기; 화장품 샘플 용기; 희석 용기; 펌프 용기; 리필 가능 화장품 병; 소형 화장품 공병; 투명 화장품 용기";10;3335.32;206;102;104;
신발정리대;"신발 정리함; 신발 보관; 신발 선반; 신발 정리 수납; 신발 정리대; 신발 정리 박스; 신발 수납대; 신발 정돈; 신발 정리 용품; 신발 캐비넷";10;2151.57;191;102;89;
여행용품;"여행 가방; 여행 액세서리; 여행 필수품; 여행 용품 세트; 여행 용기; 여행 세면도구; 여행용 보조 배터리; 여행용 쿠션; 수납 가방; 여행용 슬리퍼";10;2345.3;193;100;93;
리빙박스;"storage box; organizer box; plastic container; home storage; stackable box; storage solutions; household storage; drawer organizer; multi-purpose box; bin for organization";10;1710.33;165;101;64;
신발 탈취제;"신발 냄새 제거제; 신발 청소 용품; 신발 관리 제품; 탈취 스프레이; 신발 위생 용품; 신발 향기제; 신발 세척제; 발 냄새 방지; 신발 청결 유지; 신발 인솔";10;2441.46;194;102;92;
식탁매트;"식탁보; 테이블 러너; 식탁 보호 매트; 테이블 매트; 비닐 매트; 방수 식탁 매트; 디자인 식탁 매트; 컬러 식탁 매트; 주방 매트; 식탁 장식";10;2191.35;187;101;86;
탁상용 거울;"화장 거울; 휴대용 거울; 벽거울; 소형 거울; 메이크업 거울; 거울 세트; 배터리 거울; LED 거울; 자석 거울; 거울 악세사리";10;1807.24;185;103;82;
기름막이;"주방 기름막이; 기름 방지; 주방 용품; 기름 제거; 오일 커버; 요리 기름막이; 주방 청소; 기름 필터; 조리 기구; 주방 액세서리";10;2882.66;185;101;84;
우산;"비 오는 날 준비; 접이식 우산; 돔 우산; 가벼운 우산; 여행용 우산; 우산 가방; UV 차단 우산; 아동용 우산; 우산 홀더; 우산 보호대";10;2075.96;184;99;85;
창문 잠금 장치;"창문 보안 장치; 창문 자물쇠; 창문 잠금 장치 설치; 안전 창문 잠금; 방범 창문 잠금; 창문 안전장치; 창문 잠금 장치 사용법; 창문 락커; 창문 잠금 장치 구매; 가정용 창문 잠금";10;2433.18;205;103;102;
압축팩;"압축 저장팩; 진공 압축팩; 지퍼백; 옷 압축팩; 이불 압축팩; 여행 압축팩; 세탁기 압축팩; 다용도 압축팩; 소형 압축팩; 대형 압축팩";10;2009.32;188;100;88;
스테인리스 빨대;"스테인리스 빨대 세트; 빨대 청소용 브러시; 재사용 가능한 빨대; 스트로우 홀더; 친환경 빨대; 휴대용 빨대; 파티용 빨대; 빨대 케이스; 금속 빨대; 스테인리스 스트로우";10;1866.16;200;103;97;
용기;"저장 용기; 플라스틱 용기; 식품 용기; 밀폐 용기; 용기 세트; 유리 용기; 주방 용기; 다용도 용기; 트레이; 컵";10;1803.82;176;99;77;
정리함;"수납 상자; 정리 박스; 정리 용품; 수납함; 조직 상자; 디스플레이 박스; 조직용품; 책장 정리; 주방 정리함; 서랍 정리";10;1834.91;181;100;81;
냄새 방지 용품;"탈취제; 냄새 제거; 냄새 차단; 방향제; 세탁 세제; 곰팡이 방지; 습기 제거; 공간 정리; 청소 용품; 냄새 예방";10;1846.82;184;104;80;
핫팩;"온열팩; 핫팩 팩; 따뜻한 핫팩; 휴대용 핫팩; 겨울 필수 아이템; 온수 찜질; 핫팩 스티커; 보온 제품; 체온 유지; 찜질팩";10;1869.79;186;100;86;
물기 닦는 거;"물기 제거기; 타올; 스펀지; 청소용품; 세척 타올; 주방 타올; 욕실 물기 닦기; 습기 제거 패드; 마이크로화이버 타올; 물기 흡수 제품";10;1745.34;189;103;86;
동전 건전지;"작은 건전지; AA 건전지; AAA 건전지; 리튬 건전지; 모바일 기기 배터리; 다용도 건전지; 전자기기 건전지; 건전지 팩; rc카 건전지; 액세서리 건전지";10;2122.55;196;102;94;
선물 포장 리본;"선물 포장 재료; 리본 장식; 포장 용품; 선물 포장 아이디어; 생일 선물 리본; 크리스마스 포장; 리본 컬러 선택; DIY 포장; 특별한 날 선물; 포장 테이프";10;1868.6;193;103;90;
화분망;"화분; 식물 기르기; 재배망; 화분용망; 식물 보호망; 꽃 화분; 재배용 액세서리; 토양 보호망; 화초 용품; 원예 도구";10;1647.87;180;100;80;
부탄가스;"가스 스토브; 캠핑 연료; 휴대용 부탄가스; 부탄 가스통; 캠핑용 부탄; 야외 요리; 가스 버너; 부탄 연료; 피크닉 가스; 가스 관련 용품";10;1818.04;190;101;89;
머리끈;"헤어 타이; 머리띠; 머리끈 세트; 헤어 액세서리; 올록볼록 머리끈; 추억의 머리끈; 저렴이 머리끈; 롱 머리끈; 무지 머리끈; 아동 머리끈";10;2368.56;200;101;99;
정리용품;"수납 용품; 정리함; 박스; 서랍 정리; 정리 박스; 케이스; 가정용 정리; 문구 정리; 아이디어 박스; 접착 메모";10;1883.52;176;101;75;
상토;"식물 흙; 화분용 토양; 화초 흙; 상토 믹스; 유기농 흙; 식물 양분; 배양토; 화분 흙; 정원 토양; 상토 종류";10;1858.65;179;99;80;
층간소음 방지 패드;"방음 패드; 층간소음 완화; 소음 차단 매트; 바닥 소음 방지; 소음 감소 패드; 소리 흡수 패드; 진동 방지 매트; 층간 소음 대책; 소음 방지용품; 주택 소음 방지";10;1777.27;203;106;97;
주방용 타이머;"주방 타이머; 디지털 타이머; 쿡 타이머; 요리 타이머; 주방 시계; 카운트다운 타이머; 타이머 알람; 스톱워치; 주방 액세서리; 타이머 용품";10;2343.15;194;103;91;
하수구 뚫는 세제;"배수구 청소 세제; 하수구 클리너; 배수구 막힘 제거제; 세척제; 하수구 청소용품; 막힌 배수구 해결; 하수구 세척; 배수관 청소; 세제; 욕실 청소";10;2258.31;197;106;91;
자석 화이트보드;"자석 칠판; 화이트보드 마커; 화이트보드 지우개; 자석 메모판; 칠판 액세서리; 가정용 화이트보드; 교육용 화이트보드; 자석 스티커; 화이트보드 용품; 사무실 화이트보드";10;2304.71;199;103;96;
노트북 받침대;"노트북 스탠드; 랩탑 받침대; 노트북 거치대; 휴대용 스탠드; 인체공학적 받침대; 각도 조절 스탠드; 노트북 쿨링 패드; 사무용 받침대; 디자인 스탠드; 노트북 액세서리";10;2098.78;212;103;109;
꽃 가위;"꽃剪; 원예 가위; 플로리스트 가위; 식물 가위; 정원 가위; 원예 도구; 꽃 다듬기 도구; 식물 관리 도구; 화초 가위; 작업용 가위";10;2304.59;184;100;84;
운동화 끈 고정;"운동화 끈; 신발 끈 고정; 신발 끈 정리; 운동화 액세서리; 신발 끈 클립; 신발 끈 잠금장치; 신발 끈 교체; 운동화 보관; 운동화 용품; 신발 관리";10;2719.62;199;103;96;
틈새 스펀지;"스펀지; 청소 스펀지; 주방 스펀지; 틈새 청소 도구; 멀티 스펀지; 스펀지 솔; 세척 스펀지; 세제 스펀지; 소형 스펀지; 다용도 스펀지";10;2073.61;202;104;98;
강아지 간식;"애견 간식; 강아지 사료; 강아지 음료; 강아지 간식 추천; 유기농 강아지 간식; 강아지 장난감; 개별 포장 간식; 수제 강아지 간식; 강아지 푸드; 강아지 건강 간식";10;2441.35;200;102;98;
빨래망;"세탁망; 세탁용 가방; 빨래 보관함; 의류 세탁 보호; 세탁기 용품; 세탁소 기구; 빨래 세트; 세탁 용기; 세탁 액세서리; 소형 세탁망";10;1960.1;188;100;88;
물티슈;"습기있는 티슈; 휴대용 물티슈; 물티슈 케이스; 물티슈 리필; 아기 물티슈; 항균 물티슈; 천연 성분 물티슈; 일회용 물티슈; 클렌징 물티슈; 다용도 물티슈";10;2211.92;196;100;96;
커튼;"창문 커튼; 블라인드; 커튼 홀더; 커튼 rod; 커튼 디자인; 단열 커튼; 방음 커튼; 차양막; 프라이버시 커튼; 주방 커튼";10;2185.95;176;99;77;
매트;"바닥 매트; 러그; 발매트; 주방 매트; 욕실 매트; 소프트 매트; 접이식 매트; 유아 매트; 사계절 매트; 디자인 매트";10;2115.41;177;99;78;
연필꽂이;"펜홀더; 연필참; 문구용품; 책상정리; 쓰기구조물; 필기구정리함; 사무용품; 사무실용 연필꽂이; 무드램프 연필꽂이; 탄젠트 연필꽂이";10;2331.56;200;103;97;
냄비손잡이;"주방용품; 냄비용 손잡이; 주전자 손잡이; 주방 교육; 접이식 핸들; 열 저항 손잡이; 냄비 리드; 요리 도구; 손잡이 교체; 비스무리한 제품들";10;2374.05;193;103;90;
휴지케이스;"티슈 케이스; 화장실 휴지 케이스; 가정용 휴지함; 휴지 홀더; 주방 티슈 케이스; 캐릭터 휴지 케이스; 실내 장식용 휴지 케이스; 플라스틱 휴지 케이스; 휴지 수납함; 다용도 티슈 홀더";10;2390.84;209;101;108;
부직포;"부직포 가방; 부직포 시트; 부직포 원단; 부직포 브랜드; 부직포 교구; 부직포 바닥재; 부직포 포장재; 부직포 수납; 부직포 공예; 부직포 보호대";10;2892.58;190;100;90;
섬유유연제;"섬유유연제; 세탁소프트너; 세탁용품; 섬유관리; 실내향기; 섬유청결제; 세탁세제; 탈취제; 부드러운 세탁; 마일드 세탁";10;2350.39;188;103;85;
와인 오프너;"와인 따개; 와인 개봉기; 바틀 오프너; 와인 오프너 세트; 코르크 오프너; 와인 액세서리; 와인병 개봉; 와인 서빙 도구; 주류 오프너; 이탈리안 와인 따개";10;2085.36;198;102;96;
학용품;"학생 용품; 문구류; 필기용구; 노트; 연필; 지우개; 형광펜; 공책; 스테이플러; 스티커";10;2158.46;170;100;70;
발매트;"욕실 매트; 발 디딤매트; 발 닦는 매트; 가정용 매트; 비 오는 날 매트; 안전 매트; 탈취 매트; 방문 매트; 패턴 매트; 폴리에스터 매트";10;2483.25;186;100;86;
싱크대 선반;"주방 선반; 싱크대 수납; 고정형 선반; 싱크대 정리; 주방 수납; 부엌 선반; 다용도 선반; 식기 선반; 싱크대 액세서리; 조리대 선반";10;2128.38;191;103;88;
다용도 제품;"멀티 용품; 다목적 아이템; 생활 용품; 조직 정리 용품; 저장 용기; 가정용품; 다용도 수납; 주방 용품; 여행 용품; 사무용품";10;1921.51;183;101;82;
안전용품;"안전 장비; 안전용품 대출; 재난 대비 용품; 응급 처치 키트; 소화기; 안전 헬멧; 안전띠; 미끄럼 방지 용품; 방염 제품; 아동 안전 용품";10;2217.16;188;100;88;
방충망;"방충망 제품; 모기장; 벌레 차단; 창문 방충망; 집 내부 방충망; 접착식 방충망; 방충망 설치; 방충필터; 창 틈 방충망; 외부 방충망";10;2054.85;185;100;85;
벌레 물린데 바르는 약;"벌레 물림 크림; 모기 물린데 치료제; 가려움 완화제; 피부 진정제; 虫刺され 薬; itch relief ointment; mosquito bite cream; 벌레 물린 상처 연고; skin care after insect bite; allergy relief cream";10;2040.64;199;105;94;
압축봉;"수납 압축봉; 조정 가능한 압축봉; 커튼 압축봉; 압축봉 세트; 다목적 압축봉; 압축 바; 홈 인테리어 압축봉; 스프링 압축봉; 압축봉 설치 방법; 압축봉 구매";10;2582.98;192;100;92;
보풀제거기;"lint remover; fabric shaver; pilling comb; clothes defuzzer; fuzz remover; fabric lint brush; lint brush; clothes shaver; de-pilling tool; lint cleaning device";10;2042.63;172;102;70;
등받이;"의자 등받이; 등받이 쿠션; 편안한 등받이; 의자 베개; 좌식 등받이; 휴대용 등받이; 자동차 등받이; 사무실 등받이; 등받이 장식; 다이소 좌석 보조기구";10;2106.57;195;100;95;
빨래 건조대 발;"빨래 건조대; 세탁물 건조대; 건조대 받침대; 접이식 건조대; 슬라이드 건조대; 의류 건조대; 빨래 걸이; 세탁소품; 실내 건조대; 건조대 액세서리";10;2549.41;198;103;95;
타이머;"주방 타이머; 디지털 타이머; 카운트다운 타이머; 스톱워치; 타이머 시계; 휴대용 타이머; 자석 타이머; 타이머 상품; 시간 관리 도구; 요리 타이머";10;2214.87;190;100;90;
돌돌이 리필;"리필 카트리지; 청소용 돌돌이; 롤러 클리너; 의류 청소; 털 제거기; 리필 테이프; 재사용 가능 청소 도구; 먼지 제거 롤; 세탁소 액세서리; 가정용 청소 용품";10;2622.63;195;102;93;
멀티탭;"전원 멀티탭; 전기 소켓; 멀티탭 케이블; 콘센트 접지; 멀티탭 정리함; 멀티탭 USB; 전원 연장선; 전압 변환기; 멀티소켓; 가정용 멀티탭";10;2412.43;198;102;96;
가구 긁힘 보수펜;"가구 수선 도구; 스크래치 보수; 가구 수리 키트; 가구 보호제; 가구 복원 펜; 스크래치 제거 제품; 가구 관리 용품; 가구 연출 아이템; 가구 수명 연장; 가구 청소 용품";10;2693.21;200;106;94;
먼지떨이;"청소 도구; 먼지 제거; 먼지떨이 종류; 집안 청소; 먼지떨이 구매; 실내 청소; 다용도 먼지떨이; 먼지 털기; 청소 용품; 먼지 제거용품";10;2135.07;190;102;88;
종이 호일;"알루미늄 포일; 종이 호일 롤; 베이킹 호일; 조리용 호일; 식품 포장지; 그릴 호일; 일회용 호일; 주방 소품; 쿠킹 호일; 실리콘 호일";10;2122.01;190;101;89;
메모판;"메모지; 노트; 화이트보드; 포스트잇; 스티커 메모; 기록 용지; 메모북; 일정 관리; 펜; 사무 용품";10;1570.35;172;100;72;
장난감;"완구; 어린이 장난감; 장난감 세트; 교육용 장난감; 장난감 자동차; 인형; 조립 장난감; 실내 놀이; 외부 활동 장난감; 크래프트 키트";10;2113.19;183;100;83;
김서림 방지 거울;"김서림 방지 스프레이; 욕실 거울; 방 fog 방지; 코팅 거울; 안개 방지 거울; 수증기 방지 제품; 욕실 액세서리; 스마트 거울; 거울 청소 용품; 욕실 인테리어";10;2077.14;197;104;93;
병;"병 용기; 유리병; 플라스틱 병; 저장 용기; 음료수 병; 병 세트; 양념병; 생활용품; 소형 병; 오일병";10;1977.29;171;98;73;
소음 방지 캡;"소음 차단기; 진동 방지 패드; 소음 방지 매트; 가구 다리 캡; 소음 감소 액세서리; 진동 완화 소품; 소음 방지 스티커; 가구 보호 대; 소음 방지 제품; 소음 방지 용품";10;1808.71;200;103;97;
이어폰 고무;"이어폰 악세사리; 이어폰 팁; 고무 이어폰; 이어폰 보호대; 이어폰 소모품; 이어폰 교체; 헤드폰 액세서리; 이어폰 케이스; 무선 이어폰; 이어폰 세트";10;1695.63;187;101;86;
팔굽혀펴기 기구;"푸쉬업 바; 운동 기구; 헬스 용품; 스포츠 용품; 팔 운동 기구; 홈 트레이닝; 피트니스 장비; 요가 기구; 체중 운동; 헬스 클럽 용품";10;2376.72;188;105;83;
양말;"양말 세트; 양말 디자인; 여름 양말; 겨울 양말; 양말 패턴; 아동 양말; 여성 양말; 남성 양말; 신발 양말; 양말 관리";10;1418.95;163;99;64;
콧받침;"코 받침대; 안경 코 받침; 안경 액세서리; 코 패드; 안경 조정; 편안한 안경 착용; 안경 필수 소품; 비고리 형태 코 받침; 안경 필터; 코 보호대";10;1732.36;189;101;88;
샴푸통;"샴푸 병; 샴푸 용기; 샴푸 저장 용기; 욕실 용품; 샴푸 디스펜서; 샴푸 용품; 액체 비누 통; 컨디셔너 통; 목욕 용품; 플라스틱 용기";10;1876.23;192;101;91;
문 틈 막이;"door draft stopper; door gap seal; weather strip; door insulation; draft guard; door curtain; gap filler; energy saver; home improvement; room divider";10;1965.29;163;102;61;
전화번호 판;"전화번호 메모; 전화번호 카드; 연락처 정리; 전화번호 스탠드; 명함; 정보 정리; 연락처 판; 전화번호 북; 소형 화이트보드; 데스크 정리";10;1935.35;179;100;79;
패치;"패치 스티커; 자수 패치; 의류 패치; 안전 패치; DIY 패치; 패션 패치; 접착 패치; 병풀 패치; 아트 패치; 패치 세트";10;2026.69;178;99;79;
빨래 바구니;"세탁 바구니; 빨래 통; 빨래 가방; 세탁 보관함; 옷 바구니; 빨래 수납; 세탁 용품; 세탁기 주변 용품; 다용도 바구니; 빨래 정리함";10;2452.39;192;102;90;
선반;"수납 선반; 다용도 선반; 책 선반; 벽 선반; 목재 선반; 플라스틱 선반; 준비물 정리; 주방 선반; 욕실 선반; 선반 설치 도구";10;2306.84;181;99;82;
핸드폰 충전선 정리대;"핸드폰 충전케이블 정리; 충전선 정리대; 케이블 정리 용품; USB 충전선 정리; 핸드폰 액세서리; 기타 충전선 정리; 케이블 홀더; 충전기 정리; 소형 가전 용품; 휴대폰 액세서리 정리대";10;2577.05;214;107;107;
캠핑용 조명;"캠핑 조명; LED 캠핑등; 휴대용 조명; 야외 조명; 캠핑 랜턴; 캠핑 light; 전력 없는 조명; 다용도 조명; 배터리 조명; 소형 캠핑 조명";10;2042.35;189;102;87;
바느질 세트;"바늘; 실; 재봉틀 액세서리; 바느질 도구; 스티치 키트; 수업 바느질 세트; DIY 바느질 키트; 천 수선 용품; 바느질 용품";9;2331.74;181;102;79;
아이폰 충전기;"아이폰 충전 케이블; 아이폰 USB 충전기; 아이폰 충전기 어댑터; 아이폰 액세서리; 휴대폰 충전기; 충전기 연장선; 무선 충전기; 아이폰 보조배터리; 충전기 멀티포트; Daiso 아이폰 기기";10;2452.46;207;102;105;
탈취제;"냄새 제거제; 실내 탈취제; 자동차 탈취제; 방향제; 탈취 스프레이; 에어 프레셔너; 의류 탈취제; 부엌 탈취제; 화장실 탈취제; 구역제";10;2070.73;188;100;88;
서랍 잠금장치;"서랍 잠금장치 대체; 서랍 자물쇠; 서랍 안전 잠금; 서랍 보호 장치; 아이 서랍 잠금; 서랍 잠금 시스템; 어린이 안전 잠금; 서랍 잠금 키; 서랍 버튼 잠금; 가정용 서랍 잠금";10;2456.64;199;103;96;
손목 보호대;"손목 팔찌; 관절 보호대; 손목 서포트; 스포츠 손목 보호대; 부상 방지 장비; 무릎 보호대; 재활 보조기구; 손목 밴드; 운동 보호대; 일상 생활 보조";10;2883.21;190;101;89;
설거지망;"주방용품; 세척망; 그릇세척; 주방세척도구; 설거지도구; 주방세척망; 소분용기; 스폰지; 세척기구; 주방청소";10;3171.77;183;101;82;
자전거 자물쇠;"자전거 보안 장치; 자전거 락; 자전거 잠금장치; 자물쇠; 이동식 자전거 자물쇠; 자전거 액세서리; 자전거 안전; 자전거 잠금 시스템; 자전거 케이블 락; 자전거 잠금장치 추천";10;2228.49;209;104;105;
빨래 주머니;"세탁 가방; 빨래 가방; 세탁 주머니; 트래블 세탁 주머니; 의류 보호 주머니; 망 세탁 주머니; 소형 세탁 주머니; 다용도 세탁 가방; 속옷 세탁 주머니; 빨래 수납 가방";10;2664.11;197;101;96;
안대;"sleep mask; eye mask; darkening eye cover; relaxation mask; travel eye mask; light blocking mask; soft eye cover; cooling eye mask; silk sleep mask";9;1801.87;164;99;65;
베개 솜;"베개 커버; 솜 베개; 베개 속; 메모리 폼 베개; 다용도 베개; 안락한 베개; 국산 베개솜; 목 베개; 편안한 잠; 베개 패드";10;1969.69;185;101;84;
헤어드라이기;"헤어 스타일링 기기; 헤어 드라이기 액세서리; 헤어 관리 용품; 드라이어; 헤어 건조기; 헤어 드라이어; 헤어 펌프; 열 스타일링 도구; 미용 제품; 뷰티 기기";10;2350.08;191;102;89;
젤리;"젤리컵; 즉석젤리; 과일젤리; 젤리맛; 젤리키트; 젤리사탕; 젤리디저트; 젤리포장; 젤리팩; 젤리메이커";10;2205.43;189;100;89;
탄 거 닦는 가루;"세척제; 청소 용품; 닦는 가루; 가루 세제; 주방 청소; 얼룩 제거제; 세제; 다목적 청소; 홈케어 용품; 소독제";10;1395.73;183;104;79;
렌즈 세척액;"렌즈 세척용액; 안경 클리너; 렌즈 청소제; 렌즈 관리; 안경 세척액; 렌즈 청소 키트; 렌즈 보호 용액; 안경 렌즈 세척; 소프트 렌즈 세척액; 렌즈 살균제";10;2197.31;197;103;94;
전선정리;"케이블 정리; 전선 정리함; 케이블 잡아줄 clips; wire management; 전선 용기; 케이블 정리 수납; 전선 고정기; 전선 보호; 케이블 정리 제품; 전선 배선 정리";10;1999.05;186;101;85;
핸드폰 거치대;"휴대폰 홀더; 스마트폰 거치대; 차량용 핸드폰 거치대; 탁상용 핸드폰 거치대; 접이식 핸드폰 스탠드; 핸드폰 거치대 추천; 유니버설 핸드폰 거치대; 핸드폰 거치대 디자인; 다기능 핸드폰 거치대; 일본 핸드폰 거치대";10;3318.09;231;104;127;
슬리퍼;"실내 슬리퍼; 외출용 슬리퍼; 편안한 슬리퍼; 슬리퍼 디자인; 여름 슬리퍼; 슬리퍼 세트; 양말 슬리퍼; 아동 슬리퍼; 슬리퍼 구매; 슬리퍼 할인";10;2735.86;188;100;88;
물티슈통;"물티슈 케이스; 물티슈 홀더; 물티슈 저장소; 습기 있는 물티슈; 휴대용 물티슈; 디자인 물티슈통; 물티슈 포장; 아기 물티슈통; 비누 물티슈; 물티슈 세트";10;2548.25;195;101;94;
머리카락 정리 도구;"헤어 정리 도구; 머리카락 관리 용품; 헤어 스타일링 도구; 헤어 브러시; 머리띠; 헤어핀; 헤어집게; 스타일링 제품; 머리카락 정리; 헤어 액세서리";10;2041.54;195;105;90;
옷정리;"옷 정리 용품; 의류 정리; 옷 수납; 바지걸이; 옷걸이; 정리함; 서랍 정리; 옷 보관; 수납 박스; 옷 정리함";10;2094.04;182;101;81;
돼지코;"전원 어댑터; 멀티탭; 전기 플러그; 전원 소켓; 가전제품 부품; 충전기; 연장선; 전기 연결기; 전원 케이블; 액세서리";10;1980.76;183;101;82;
미술용품;"미술 재료; 화방 용품; 그림 그리기 도구; DIY 미술 키트; 수채화 물감; 파스텔 색연필; 스케치북; 아크릴 물감; 미술 도구 세트; 크레용";10;2030.58;189;101;88;
뒤꿈치 보호 패드;"발뒤꿈치 패드; 발 보호 용품; 통기성 패드; 발안정 패드; 뒤꿈치 굳은 살 방지; 패드 신발; 쿠션 패드; 편안한 발";8;1944.63;177;103;74;
무선 마우스;"무선 기계식 마우스; 블루투스 마우스; USB 무선 마우스; 게임용 무선 마우스; 무선 마우스 패드; 경량 무선 마우스; 무선 오피스 마우스; 무선 리시버; 저소음 무선 마우스; 다기능 무선 마우스";10;2104.56;212;102;110;
일회용 면도기;"제면도기; 면도기세트; 일회용면도기팩; 면도기칼날; 여성용면도기; 남성용면도기; 면도크림; 일회용면도기홀더; 여행용면도기; 안전면도기";10;2471.89;198;103;95;
발판;"스텝 스툴; 발받침; 계단 발판; 접이식 발판; 안전 발판; 주방 발판; 다용도 발판; 작업용 발판; 아기 발판; 유아 발판";10;1929.18;182;99;83;
페디큐어 세퍼레이터;"발톱 분리기; 네일 케어; 페디큐어 용품; 발톱 케어; 젤 네일; 페디큐어 도구; 발 관리; 네일 아트; 미용 도구; DIY 페디큐어";10;2213.88;192;105;87;
고무장갑;"고무장갑 세트; 주방용 장갑; 청소 장갑; 일회용 장갑; 방수 장갑; 유니버설 장갑; 코팅 장갑; 내열 장갑; 비닐장갑; 접합 장갑";10;2315.82;187;101;86;
포스트잇;"메모지; 스티커 메모; 부착 메모; 노트; 문구류; 사무용품; 작업공간 정리; 리마인더 스티커; 책갈피; 화이트보드 스티커";10;1854.35;183;101;82;
허리 줄이는 핀;"허리 조절 핀; 허리 사이즈 조절; 허리 핀; 의류 액세서리; 옷 핀; 허리 리프팅; 여성 의류; 탈부착 가능한 핀; 편안한 의류";9;1852.81;185;103;82;
스티커;"스티커북; 데코 스티커; 노트 스티커; 팬시 스티커; 스티커 디자인; 컬러 스티커; 스티커 세트; 접착 스티커; 프린트 스티커; DIY 스티커";10;2251.39;187;100;87;
고데기받침;"헤어 고데기; 고데기 거치대; 고데기 받침대; 미용 소품; 헤어 스타일링; 온열기구; 미용 기기; 고데기 액세서리; 핫스타일러 받침; 미용 용품";10;2207.41;192;102;90;
안전덮개;"안전커버; 유아 안전; 보호 덮개; 안전 보호장치; 가전제품 안전; 전기 안전; 작은아이 안전; 소품 안전; 가정용 안전";9;1774.68;172;101;71;
귀마개;"귀 보호대; 소음 차단기; 수면 귀마개; 귀마개 세트; 여행 귀마개; 스포츠 귀마개; 귀마개 구매; 귀마개 효과; 방음 귀마개; 재사용 귀마개";10;1997.64;185;100;85;
