Q: 샤프심만 따로 파나요? -> Keyword: 샤프심 (Latency: 1.218s, Tokens: [P:3078, C:29, T:3107])
Q: 마스크 스트랩 고리 부품만 따로 파나요? -> Keyword: 마스크걸이 (Latency: 0.986s, Tokens: [P:3083, C:30, T:3113])
Q: 안경 나사 조이는 키트 말고 나사만 모아 둔 거 있어요? -> Keyword: 약통 (Latency: 0.951s, Tokens: [P:3089, C:24, T:3113])
Q: 우산 살 부러졌는데 수리 키트 있나요? -> Keyword: 우산수리키트 (Latency: 1.035s, Tokens: [P:3084, C:33, T:3117])
Q: 신발 끈 끝에 끼우는 팁만 따로 파나요? -> Keyword: 신발끈팁 (Latency: 0.952s, Tokens: [P:3086, C:32, T:3118])
Q: 가방 끈 조절하는 버클만 깨졌는데 있나요? -> Keyword: 가방끈조절버클 (Latency: 0.944s, Tokens: [P:3086, C:31, T:3117])
Q: 캐리어 바퀴 커버만 따로 씌우는 거 있죠? -> Keyword: 캐리어바퀴커버 (Latency: 0.953s, Tokens: [P:3085, C:35, T:3120])
Q: 지퍼 손잡이 고장 나서 고거만 달고 싶어요. -> Keyword: 지퍼수리키트 (Latency: 0.963s, Tokens: [P:3086, C:34, T:3120])
Q: 에어팟 이어팁 잃어버렸는데 사이즈별로 있나요? -> Keyword: 이어폰팁 (Latency: 0.978s, Tokens: [P:3087, C:28, T:3115])
Q: 핸드폰 충전기 케이블 말고 어댑터만 따로 파나요? -> Keyword: 휴대폰충전어댑터 (Latency: 0.867s, Tokens: [P:3087, C:31, T:3118])
Q: 마우스 건전지 뚜껑 잃어버렸는데 뚜껑만 있나요? -> Keyword: 건전지덮개 (Latency: 0.914s, Tokens: [P:3091, C:29, T:3120])
Q: 키보드 키캡 몇 개만 바꾸고 싶은데 낱개로 파나요? -> Keyword: 키캡 (Latency: 0.975s, Tokens: [P:3089, C:27, T:3116])
Q: 모니터 받침대 미끄럼 방지 고무만 떨어졌어요. -> Keyword: 미끄럼방지패드 (Latency: 1.151s, Tokens: [P:3088, C:53, T:3141])
Q: 차량용 방향제 리필 오일만 어디 있어요? -> Keyword: 차량용방향제리필오일 (Latency: 0.972s, Tokens: [P:3083, C:31, T:3114])
Q: 와이퍼 고무 날만 교체하고 싶은데요. -> Keyword: 와이퍼리필고무 (Latency: 0.955s, Tokens: [P:3083, C:35, T:3118])
Q: 자동차 키 배터리 교체하는데 배터리만 있나요? -> Keyword: 건전지 (Latency: 0.865s, Tokens: [P:3085, C:24, T:3109])
Q: 블랙박스 접착 스티커만 따로 파나요? -> Keyword: 양면테이프 (Latency: 0.966s, Tokens: [P:3084, C:33, T:3117])
Q: 텐트 폴대 끈 끊어졌는데 끈만 있어요? -> Keyword: 텐트수리용품 (Latency: 0.976s, Tokens: [P:3084, C:34, T:3118])
Q: 캠핑 의자 고무 발만 빠졌는데 있나요? -> Keyword: 의자발커버 (Latency: 0.975s, Tokens: [P:3084, C:36, T:3120])
Q: 랜턴 심지만 리필로 파는 거 어디 있어요? -> Keyword: 랜턴심지 (Latency: 0.866s, Tokens: [P:3083, C:23, T:3106])
Q: 낚싯대 초리대 부품만 따로 있나요? -> Keyword: 낚시대부품 (Latency: 0.875s, Tokens: [P:3083, C:31, T:3114])
Q: 자전거 브레이크 패드만 교체하려고요. -> Keyword: 자전거브레이크패드 (Latency: 1.071s, Tokens: [P:3083, C:34, T:3117])
Q: 킥보드 손잡이 고무만 끈적해서 바꾸고 싶어요. -> Keyword: 자전거손잡이 (Latency: 0.962s, Tokens: [P:3088, C:29, T:3117])
Q: 배드민턴 셔틀콕 깃털 말고 앞부분만 있는 연습용 있나요? -> Keyword: 배드민턴연습기 (Latency: 1.061s, Tokens: [P:3091, C:40, T:3131])
