Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 제습제 (Latency: 1.088s, Tokens: [P:3083, C:34, T:3117])
Q: 바닥 긁힘 막아주는 거 있어요? -> Keyword: 소음방지패드 (Latency: 0.896s, Tokens: [P:3081, C:29, T:3110])
Q: 손 안 더러워지게 쓰는 거 있어요? -> Keyword: 청소집게 (Latency: 0.881s, Tokens: [P:3081, C:32, T:3113])
Q: 여름에 시원한 촉감 나는 거 있어요? -> Keyword: 쿨토시 (Latency: 0.889s, Tokens: [P:3082, C:30, T:3112])
Q: 겨울에 따뜻한 촉감 나는 거 있어요? -> Keyword: 극세사러그 (Latency: 0.977s, Tokens: [P:3082, C:30, T:3112])
Q: 물 흡수 잘 되는 거 있어요? -> Keyword: 규조토발매트 (Latency: 0.864s, Tokens: [P:3078, C:33, T:3111])
Q: 물 튀는 거 막아주는 거 있어요? -> Keyword: 물 튐 방지 가림막 (Latency: 0.979s, Tokens: [P:3081, C:35, T:3116])
Q: 눌러도 안 찌그러지는 거 있어요? -> Keyword: 멜라민식기 (Latency: 0.993s, Tokens: [P:3081, C:31, T:3112])
Q: 공간 적게 차지하는 거 있어요? -> Keyword: 틈새수납장 (Latency: 0.881s, Tokens: [P:3079, C:28, T:3107])
Q: 고정 잘 되는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 0.975s, Tokens: [P:3077, C:33, T:3110])
Q: 한 손으로 쓰기 편한 거 있어요? -> Keyword: 자동디스펜서 (Latency: 0.983s, Tokens: [P:3080, C:30, T:3110])
Q: 뚜껑이 잘 안 열리는 거 있어요? -> Keyword: 병따개 (Latency: 1.070s, Tokens: [P:3080, C:35, T:3115])
Q: 아이가 혼자 써도 안전한 거 있어요? -> Keyword: 유아식기 (Latency: 0.969s, Tokens: [P:3081, C:28, T:3109])
Q: 투명해서 안에 보이는 거 있어요? -> Keyword: 투명정리함 (Latency: 0.971s, Tokens: [P:3078, C:25, T:3103])
Q: 걸어두면 공간 아끼는 거 있어요? -> Keyword: 행거 (Latency: 0.883s, Tokens: [P:3081, C:22, T:3103])
Q: 자석으로 붙는 거 있어요? -> Keyword: 자석메모홀더 (Latency: 0.889s, Tokens: [P:3078, C:23, T:3101])
Q: 물에 담가도 되는 거 있어요? -> Keyword: 방수팩 (Latency: 0.981s, Tokens: [P:3079, C:34, T:3113])
Q: 기름 안 튀게 하는 거 있어요? -> Keyword: 기름방지망 (Latency: 0.973s, Tokens: [P:3080, C:29, T:3109])
Q: 손잡이 안 뜨거워지는 거 있어요? -> Keyword: 실리콘손잡이 (Latency: 0.883s, Tokens: [P:3081, C:24, T:3105])
Q: 냄새 배는 거 막는 거 있어요? -> Keyword: 탈취제 (Latency: 1.073s, Tokens: [P:3080, C:24, T:3104])
Q: 부드러운 촉감 나는 거 있어요? -> Keyword: 극세사타월 (Latency: 0.973s, Tokens: [P:3080, C:31, T:3111])
Q: 튀어나온 데 보호하는 거 있어요? -> Keyword: 모서리보호대 (Latency: 0.982s, Tokens: [P:3079, C:38, T:3117])
Q: 자주 안 더러워지는 거 있어요? -> Keyword: 방오매트 (Latency: 0.879s, Tokens: [P:3080, C:26, T:3106])
Q: 쉽게 찢어지지 않는 거 있어요? -> Keyword: 종이호일 (Latency: 1.071s, Tokens: [P:3080, C:36, T:3116])
Q: 끈적임 없이 고정되는 거 있어요? -> Keyword: 몬스터클리어젤 (Latency: 0.896s, Tokens: [P:3080, C:29, T:3109])
Q: 접착 말고 다른 방식으로 고정되는 거 있어요? -> Keyword: 꼭꼬핀 (Latency: 0.874s, Tokens: [P:3081, C:24, T:3105])
Q: 손에 힘 안 줘도 되는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 0.972s, Tokens: [P:3081, C:35, T:3116])
Q: 바람 막아주는 거 있어요? -> Keyword: 방풍비닐 (Latency: 0.990s, Tokens: [P:3078, C:30, T:3108])
Q: 햇빛 가려주는 거 있어요? -> Keyword: 암막커튼 (Latency: 0.885s, Tokens: [P:3078, C:23, T:3101])
Q: 습기 줄여주는 거 있어요? -> Keyword: 제습제 (Latency: 0.893s, Tokens: [P:3078, C:22, T:3100])
Q: 냄새 섞이지 않게 하는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 0.972s, Tokens: [P:3081, C:35, T:3116])
Q: 쉽게 들고 다닐 수 있는 거 있어요? -> Keyword: 가방 (Latency: 0.884s, Tokens: [P:3081, C:20, T:3101])
Q: 바퀴 안 굴러가게 하는 거 있어요? -> Keyword: 바퀴고정 стопор (Latency: 0.974s, Tokens: [P:3082, C:33, T:3115])
Q: 물 얼룩 안 남는 거 있어요? -> Keyword: 방오매트 (Latency: 0.874s, Tokens: [P:3079, C:25, T:3104])
Q: 손에 묻지 않게 쓰는 거 있어요? -> Keyword: 청소솔 (Latency: 0.983s, Tokens: [P:3081, C:30, T:3111])
Q: 애 손 안 닿게 하는 거 있어요? -> Keyword: 안전문 (Latency: 1.085s, Tokens: [P:3080, C:29, T:3109])
Q: 쉽게 접었다 펼 수 있는 거 있어요? -> Keyword: 접이식의자 (Latency: 0.983s, Tokens: [P:3080, C:33, T:3113])
Q: 긁혀도 티 안 나는 거 있어요? -> Keyword: 스크래치보수제 (Latency: 0.979s, Tokens: [P:3079, C:33, T:3112])
Q: 눌러도 소리 안 나는 거 있어요? -> Keyword: 소음방지패드 (Latency: 0.881s, Tokens: [P:3080, C:25, T:3105])
Q: 물에 젖어도 미끄럽지 않은 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 0.975s, Tokens: [P:3083, C:35, T:3118])
Q: 한 번 사두면 오래 쓰는 거 있어요? -> Keyword: 멜라민식기 (Latency: 0.978s, Tokens: [P:3080, C:29, T:3109])
Q: 열어두면 자동으로 닫히는 거 있어요? -> Keyword: 자동문닫힘 (Latency: 0.971s, Tokens: [P:3082, C:30, T:3112])
Q: 안 보이게 가릴 수 있는 거 있어요? -> Keyword: 가림막커튼 (Latency: 0.977s, Tokens: [P:3080, C:24, T:3104])
Q: 물기 많은 데 놔도 되는 거 있어요? -> Keyword: 방수팩 (Latency: 0.976s, Tokens: [P:3081, C:25, T:3106])
Q: 작은 물건 안 흩어지게 하는 거 있어요? -> Keyword: 정리함 (Latency: 0.973s, Tokens: [P:3084, C:25, T:3109])
Q: 손 안 베이게 하는 거 있어요? -> Keyword: 안전칼 (Latency: 0.973s, Tokens: [P:3079, C:24, T:3103])
Q: 냄새 새는 거 막는 거 있어요? -> Keyword: 밀폐용기 (Latency: 1.005s, Tokens: [P:3080, C:25, T:3105])
Q: 열면 자동으로 불 켜지는 거 있어요? -> Keyword: LED센서등 (Latency: 0.884s, Tokens: [P:3080, C:28, T:3108])
Q: 쉽게 닦이는 표면이에요? -> Keyword: 코팅식탁보 (Latency: 0.985s, Tokens: [P:3079, C:34, T:3113])
Q: 무게 가벼운 거 있어요? -> Keyword: 리빙박스 (Latency: 1.072s, Tokens: [P:3078, C:28, T:3106])
Q: 흔들리지 않게 세워두는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 0.987s, Tokens: [P:3082, C:30, T:3112])
Q: 눕혀놔도 안 쏟아지는 거 있어요? -> Keyword: 밀폐용기 (Latency: 0.874s, Tokens: [P:3082, C:30, T:3112])
Q: 전기 없이 쓰는 거 있어요? -> Keyword: 아날로그타이머 (Latency: 0.978s, Tokens: [P:3077, C:33, T:3110])
Q: 열 차단 잘 되는 거 있어요? -> Keyword: 냄비받침 (Latency: 0.886s, Tokens: [P:3078, C:27, T:3105])
Q: 물 튀겨도 고장 안 나는 거 있어요? -> Keyword: 방수팩 (Latency: 1.163s, Tokens: [P:3082, C:32, T:3114])
Q: 손목 안 아프게 쓰는 거 있어요? -> Keyword: 손목보호대 (Latency: 1.095s, Tokens: [P:3080, C:32, T:3112])
Q: 땀 차지 않게 하는 거 있어요? -> Keyword: 쿨시트 (Latency: 1.280s, Tokens: [P:3078, C:29, T:3107])
Q: 애가 열 수 없게 하는 거 있어요? -> Keyword: 안전 잠금장치 (Latency: 0.971s, Tokens: [P:3080, C:28, T:3108])
Q: 쉽게 부서지지 않는 거 있어요? -> Keyword: 멜라민식기 (Latency: 1.075s, Tokens: [P:3079, C:28, T:3107])
Q: 여러 개 한 번에 들 수 있는 거 있어요? -> Keyword: 장바구니 (Latency: 1.182s, Tokens: [P:3081, C:28, T:3109])
Q: 보관해도 곰팡이 안 생기는 거 있어요? -> Keyword: 제습제 (Latency: 1.169s, Tokens: [P:3083, C:34, T:3117])
Q: 긁힘 없이 닦이는 거 있어요? -> Keyword: 흠집제거제 (Latency: 1.279s, Tokens: [P:3079, C:33, T:3112])
Q: 밤에 불 안 켜도 보이는 거 있어요? -> Keyword: 야광테이프 (Latency: 1.172s, Tokens: [P:3081, C:28, T:3109])
Q: 자주 넘어지지 않는 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 8.338s, Tokens: [P:3078, C:32, T:3110])
Q: 먼지 덜 붙는 재질 있어요? -> Keyword: 정전기방지청소포 (Latency: 1.172s, Tokens: [P:3080, C:30, T:3110])
Q: 한 번에 정리 끝나는 거 있어요? -> Keyword: 수납정리함 (Latency: 1.184s, Tokens: [P:3079, C:25, T:3104])
Q: 냄새랑 습기 같이 잡는 거 있어요? -> Keyword: 탈취제 (Latency: 1.131s, Tokens: [P:3081, C:26, T:3107])
Q: 이동해도 내용물 안 섞이는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 1.285s, Tokens: [P:3082, C:31, T:3113])
Q: 열고 닫기 조용한 거 있어요? -> Keyword: 문풍지 (Latency: 1.191s, Tokens: [P:3080, C:22, T:3102])
Q: 안에 뭐 들었는지 바로 보이는 거 있어요? -> Keyword: 투명정리함 (Latency: 1.169s, Tokens: [P:3081, C:26, T:3107])
Q: 눌러도 원래대로 돌아오는 거 있어요? -> Keyword: 실리콘케이스 (Latency: 1.174s, Tokens: [P:3080, C:31, T:3111])
Q: 뚜껑 안 잃어버리게 붙어 있는 거 있어요? -> Keyword: 캡홀더 (Latency: 1.066s, Tokens: [P:3085, C:26, T:3111])
Q: 열어둬도 냄새 안 퍼지는 거 있어요? -> Keyword: 탈취제 (Latency: 1.077s, Tokens: [P:3083, C:26, T:3109])
Q: 세워놔도 안 넘어지는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 1.193s, Tokens: [P:3080, C:35, T:3115])
Q: 손에 안 묻히고 버리는 거 있어요? -> Keyword: 청소집게 (Latency: 1.218s, Tokens: [P:3082, C:31, T:3113])
Q: 아이가 던져도 안 깨지는 거 있어요? -> Keyword: 멜라민식기 (Latency: 1.285s, Tokens: [P:3081, C:37, T:3118])
Q: 열면 바로 쓸 수 있는 거 있어요? -> Keyword: 캡형물티슈 (Latency: 1.172s, Tokens: [P:3079, C:34, T:3113])
Q: 가방 안에서 자리 안 차지하는 거 있어요? -> Keyword: 압축파우치 (Latency: 1.109s, Tokens: [P:3081, C:26, T:3107])
Q: 냄새 안 섞이게 분리되는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 1.148s, Tokens: [P:3083, C:31, T:3114])
Q: 바람 불어도 안 날아가는 거 있어요? -> Keyword: 테이블보클립 (Latency: 1.249s, Tokens: [P:3081, C:31, T:3112])
Q: 닫아두면 자동으로 잠기는 거 있어요? -> Keyword: 자동잠금후크 (Latency: 1.168s, Tokens: [P:3080, C:28, T:3108])
Q: 손 안 더럽히고 짜는 거 있어요? -> Keyword: 튜브짜개 (Latency: 1.369s, Tokens: [P:3081, C:35, T:3116])
Q: 물기 있어도 붙는 거 있어요? -> Keyword: 흡착후크 (Latency: 1.167s, Tokens: [P:3079, C:29, T:3108])
Q: 한 번 붙이면 오래 가는 거 있어요? -> Keyword: 강력접착제 (Latency: 1.166s, Tokens: [P:3079, C:23, T:3102])
Q: 여러 군데 쓸 수 있는 거 있어요? -> Keyword: 다용도클리너 (Latency: 1.270s, Tokens: [P:3079, C:31, T:3110])
