Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 발매트 (Latency: 1.240s, Tokens: [P:1906, C:24, T:1930])
Q: 열기 차단해주는 거 있어요? -> Keyword: 단열시트 (Latency: 1.175s, Tokens: [P:1902, C:59, T:1961])
Q: 잘 안 엉키게 하는 거 있어요? -> Keyword: 케이블타이 (Latency: 1.000s, Tokens: [P:1903, C:43, T:1946])
Q: 바닥 긁힘 막아주는 거 있어요? -> Keyword: 의자발커버 (Latency: 1.169s, Tokens: [P:1904, C:57, T:1961])
Q: 손 안 더러워지게 쓰는 거 있어요? -> Keyword: 화장퍼프 (Latency: 0.989s, Tokens: [P:1904, C:42, T:1946])
Q: 여름에 시원한 촉감 나는 거 있어요? -> Keyword: 쿨매트 (Latency: 1.175s, Tokens: [P:1905, C:54, T:1959])
Q: 겨울에 따뜻한 촉감 나는 거 있어요? -> Keyword: 단열/방한용품 (Latency: 1.351s, Tokens: [P:1905, C:84, T:1989])
Q: 물 흡수 잘 되는 거 있어요? -> Keyword: 발매트 (Latency: 0.976s, Tokens: [P:1901, C:27, T:1928])
Q: 물 튀는 거 막아주는 거 있어요? -> Keyword: 물막이 (Latency: 0.997s, Tokens: [P:1904, C:43, T:1947])
Q: 눌러도 안 찌그러지는 거 있어요? -> Keyword: 스테인리스식기 (Latency: 1.002s, Tokens: [P:1904, C:39, T:1943])
Q: 공간 적게 차지하는 거 있어요? -> Keyword: 수납정리함 (Latency: 0.933s, Tokens: [P:1902, C:32, T:1934])
Q: 고정 잘 되는 거 있어요? -> Keyword: 케이블타이 (Latency: 0.903s, Tokens: [P:1900, C:32, T:1932])
Q: 한 손으로 쓰기 편한 거 있어요? -> Keyword: 볼펜 (Latency: 1.015s, Tokens: [P:1903, C:47, T:1950])
Q: 뚜껑이 잘 안 열리는 거 있어요? -> Keyword: 병따개 (Latency: 1.141s, Tokens: [P:1903, C:43, T:1946])
Q: 아이가 혼자 써도 안전한 거 있어요? -> Keyword: 유아용품 (Latency: 1.164s, Tokens: [P:1904, C:69, T:1973])
Q: 투명해서 안에 보이는 거 있어요? -> Keyword: 투명수납함 (Latency: 1.000s, Tokens: [P:1901, C:43, T:1944])
Q: 걸어두면 공간 아끼는 거 있어요? -> Keyword: 도어후크 (Latency: 1.162s, Tokens: [P:1904, C:69, T:1973])
Q: 자석으로 붙는 거 있어요? -> Keyword: 마그넷후크 (Latency: 1.165s, Tokens: [P:1901, C:53, T:1954])
Q: 물에 담가도 되는 거 있어요? -> Keyword: 식기/그릇/트레이 (Latency: 1.334s, Tokens: [P:1902, C:96, T:1998])
Q: 기름 안 튀게 하는 거 있어요? -> Keyword: 기름방지망 (Latency: 0.840s, Tokens: [P:1903, C:29, T:1932])
Q: 손잡이 안 뜨거워지는 거 있어요? -> Keyword: 손잡이커버 (Latency: 1.005s, Tokens: [P:1904, C:44, T:1948])
Q: 냄새 배는 거 막는 거 있어요? -> Keyword: 음식물쓰레기통 (Latency: 0.992s, Tokens: [P:1903, C:35, T:1938])
Q: 부드러운 촉감 나는 거 있어요? -> Keyword: 바디워시 (Latency: 1.162s, Tokens: [P:1903, C:66, T:1969])
Q: 튀어나온 데 보호하는 거 있어요? -> Keyword: 모서리보호대 (Latency: 1.337s, Tokens: [P:1902, C:55, T:1957])
Q: 자주 안 더러워지는 거 있어요? -> Keyword: 방충망스티커 (Latency: 1.166s, Tokens: [P:1903, C:47, T:1950])
Q: 쉽게 찢어지지 않는 거 있어요? -> Keyword: 행주 (Latency: 1.497s, Tokens: [P:1903, C:93, T:1996])
Q: 끈적임 없이 고정되는 거 있어요? -> Keyword: 점착메모지 (Latency: 0.997s, Tokens: [P:1903, C:34, T:1937])
Q: 접착 말고 다른 방식으로 고정되는 거 있어요? -> Keyword: 압축팩 (Latency: 1.167s, Tokens: [P:1904, C:41, T:1945])
Q: 손에 힘 안 줘도 되는 거 있어요? -> Keyword: 칼/도마/채칼/가위 (Latency: 1.497s, Tokens: [P:1904, C:93, T:1997])
Q: 바람 막아주는 거 있어요? -> Keyword: 문풍지 (Latency: 1.018s, Tokens: [P:1901, C:32, T:1933])
Q: 햇빛 가려주는 거 있어요? -> Keyword: 암막커튼 (Latency: 0.962s, Tokens: [P:1901, C:26, T:1927])
Q: 습기 줄여주는 거 있어요? -> Keyword: 제습제 (Latency: 1.162s, Tokens: [P:1901, C:48, T:1949])
Q: 냄새 섞이지 않게 하는 거 있어요? -> Keyword: 밀폐용기 (Latency: 1.331s, Tokens: [P:1904, C:79, T:1983])
Q: 쉽게 들고 다닐 수 있는 거 있어요? -> Keyword: 바구니 (Latency: 1.056s, Tokens: [P:1904, C:34, T:1938])
Q: 바퀴 안 굴러가게 하는 거 있어요? -> Keyword: 바퀴고정대 (Latency: 0.931s, Tokens: [P:1905, C:31, T:1936])
Q: 물 얼룩 안 남는 거 있어요? -> Keyword: 유리닦이 (Latency: 0.997s, Tokens: [P:1902, C:38, T:1940])
Q: 손에 묻지 않게 쓰는 거 있어요? -> Keyword: 퍼프/브러쉬 (Latency: 0.995s, Tokens: [P:1904, C:41, T:1945])
Q: 애 손 안 닿게 하는 거 있어요? -> Keyword: 안전용품 (Latency: 1.165s, Tokens: [P:1903, C:45, T:1948])
Q: 쉽게 접었다 펼 수 있는 거 있어요? -> Keyword: 접이식정리함 (Latency: 0.999s, Tokens: [P:1903, C:37, T:1940])
Q: 긁혀도 티 안 나는 거 있어요? -> Keyword: 의자발커버 (Latency: 1.170s, Tokens: [P:1902, C:33, T:1935])
Q: 눌러도 소리 안 나는 거 있어요? -> Keyword: 저소음볼펜 (Latency: 1.002s, Tokens: [P:1903, C:37, T:1940])
Q: 물에 젖어도 미끄럽지 않은 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 0.833s, Tokens: [P:1906, C:28, T:1934])
Q: 한 번 사두면 오래 쓰는 거 있어요? -> Keyword: 리빙박스 (Latency: 1.000s, Tokens: [P:1903, C:45, T:1948])
Q: 열어두면 자동으로 닫히는 거 있어요? -> Keyword: 도어클로저 (Latency: 1.175s, Tokens: [P:1905, C:54, T:1959])
Q: 안 보이게 가릴 수 있는 거 있어요? -> Keyword: 수납정리함 (Latency: 0.990s, Tokens: [P:1903, C:41, T:1944])
Q: 물기 많은 데 놔도 되는 거 있어요? -> Keyword: 비누받침 (Latency: 0.997s, Tokens: [P:1904, C:32, T:1936])
Q: 작은 물건 안 흩어지게 하는 거 있어요? -> Keyword: 투명수납함 (Latency: 1.166s, Tokens: [P:1907, C:69, T:1976])
Q: 손 안 베이게 하는 거 있어요? -> Keyword: 칼집 (Latency: 0.827s, Tokens: [P:1902, C:26, T:1928])
Q: 냄새 새는 거 막는 거 있어요? -> Keyword: 밀폐용기 (Latency: 1.166s, Tokens: [P:1903, C:54, T:1957])
Q: 열면 자동으로 불 켜지는 거 있어요? -> Keyword: 센서등 (Latency: 1.168s, Tokens: [P:1903, C:57, T:1960])
Q: 쉽게 닦이는 표면이에요? -> Keyword: 청소포 (Latency: 1.166s, Tokens: [P:1902, C:50, T:1952])
Q: 무게 가벼운 거 있어요? -> Keyword: 바구니 (Latency: 1.166s, Tokens: [P:1901, C:55, T:1956])
Q: 흔들리지 않게 세워두는 거 있어요? -> Keyword: 받침대 (Latency: 1.330s, Tokens: [P:1905, C:64, T:1969])
Q: 눕혀놔도 안 쏟아지는 거 있어요? -> Keyword: 텀블러 (Latency: 1.001s, Tokens: [P:1905, C:39, T:1944])
Q: 전기 없이 쓰는 거 있어요? -> Keyword: 건전지/콘센트 (Latency: 1.334s, Tokens: [P:1900, C:86, T:1986])
Q: 열 차단 잘 되는 거 있어요? -> Keyword: 단열시트 (Latency: 1.002s, Tokens: [P:1901, C:40, T:1941])
Q: 물 튀겨도 고장 안 나는 거 있어요? -> Keyword: 방수디지털타이머 (Latency: 1.519s, Tokens: [P:1905, C:109, T:2014])
Q: 손목 안 아프게 쓰는 거 있어요? -> Keyword: 손목보호대 (Latency: 0.977s, Tokens: [P:1903, C:33, T:1936])
Q: 땀 차지 않게 하는 거 있어요? -> Keyword: 쿨토시 (Latency: 0.993s, Tokens: [P:1901, C:32, T:1933])
Q: 애가 열 수 없게 하는 거 있어요? -> Keyword: 안전잠금장치 (Latency: 0.993s, Tokens: [P:1903, C:41, T:1944])
Q: 쉽게 부서지지 않는 거 있어요? -> Keyword: 포장 에어캡 (Latency: 1.174s, Tokens: [P:1902, C:41, T:1943])
Q: 여러 개 한 번에 들 수 있는 거 있어요? -> Keyword: 트레이 (Latency: 1.335s, Tokens: [P:1904, C:68, T:1972])
Q: 보관해도 곰팡이 안 생기는 거 있어요? -> Keyword: 제습제 (Latency: 1.173s, Tokens: [P:1906, C:65, T:1971])
Q: 긁힘 없이 닦이는 거 있어요? -> Keyword: 극세사 걸레 (Latency: 1.000s, Tokens: [P:1902, C:33, T:1935])
Q: 밤에 불 안 켜도 보이는 거 있어요? -> Keyword: 조명/전구 (Latency: 1.002s, Tokens: [P:1904, C:48, T:1952])
Q: 자주 넘어지지 않는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 1.003s, Tokens: [P:1901, C:47, T:1948])
Q: 먼지 덜 붙는 재질 있어요? -> Keyword: 정전기청소포 (Latency: 1.180s, Tokens: [P:1903, C:69, T:1972])
Q: 한 번에 정리 끝나는 거 있어요? -> Keyword: 리빙박스 (Latency: 0.992s, Tokens: [P:1902, C:42, T:1944])
Q: 냄새랑 습기 같이 잡는 거 있어요? -> Keyword: 제습제 (Latency: 1.033s, Tokens: [P:1904, C:28, T:1932])
Q: 이동해도 내용물 안 섞이는 거 있어요? -> Keyword: 밀폐용기 (Latency: 1.135s, Tokens: [P:1905, C:45, T:1950])
Q: 열고 닫기 조용한 거 있어요? -> Keyword: 문충격방지패드 (Latency: 1.164s, Tokens: [P:1903, C:45, T:1948])
Q: 안에 뭐 들었는지 바로 보이는 거 있어요? -> Keyword: 투명수납함 (Latency: 1.006s, Tokens: [P:1904, C:53, T:1957])
Q: 눌러도 원래대로 돌아오는 거 있어요? -> Keyword: 점착메모 (Latency: 1.169s, Tokens: [P:1903, C:65, T:1968])
Q: 뚜껑 안 잃어버리게 붙어 있는 거 있어요? -> Keyword: 양념통 (Latency: 1.000s, Tokens: [P:1908, C:34, T:1942])
Q: 열어둬도 냄새 안 퍼지는 거 있어요? -> Keyword: 음식물쓰레기통 (Latency: 0.995s, Tokens: [P:1906, C:27, T:1933])
Q: 세워놔도 안 넘어지는 거 있어요? -> Keyword: 문고정 (Latency: 1.003s, Tokens: [P:1903, C:34, T:1937])
Q: 손에 안 묻히고 버리는 거 있어요? -> Keyword: 쓰레기집게 (Latency: 0.974s, Tokens: [P:1905, C:35, T:1940])
Q: 아이가 던져도 안 깨지는 거 있어요? -> Keyword: 유아식기 (Latency: 0.863s, Tokens: [P:1904, C:32, T:1936])
Q: 열면 바로 쓸 수 있는 거 있어요? -> Keyword: 풀테이프 (Latency: 1.050s, Tokens: [P:1902, C:45, T:1947])
Q: 가방 안에서 자리 안 차지하는 거 있어요? -> Keyword: 파우치 (Latency: 0.947s, Tokens: [P:1904, C:52, T:1956])
Q: 냄새 안 섞이게 분리되는 거 있어요? -> Keyword: 밀폐용기 (Latency: 0.996s, Tokens: [P:1906, C:42, T:1948])
Q: 바람 불어도 안 날아가는 거 있어요? -> Keyword: 문풍지 (Latency: 1.001s, Tokens: [P:1904, C:30, T:1934])
Q: 닫아두면 자동으로 잠기는 거 있어요? -> Keyword: 자석문고리 (Latency: 0.831s, Tokens: [P:1903, C:36, T:1939])
Q: 손 안 더럽히고 짜는 거 있어요? -> Keyword: 튜브짜개 (Latency: 0.997s, Tokens: [P:1904, C:32, T:1936])
Q: 물기 있어도 붙는 거 있어요? -> Keyword: 방수테이프 (Latency: 1.169s, Tokens: [P:1902, C:60, T:1962])
Q: 한 번 붙이면 오래 가는 거 있어요? -> Keyword: 강력 접착 테이프 (Latency: 0.999s, Tokens: [P:1902, C:43, T:1945])
Q: 여러 군데 쓸 수 있는 거 있어요? -> Keyword: 바구니 (Latency: 1.000s, Tokens: [P:1902, C:33, T:1935])
