Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 방수팩 (Latency: 1.109s, Tokens: [P:2538, C:31, T:2569])
Q: 열기 차단해주는 거 있어요? -> Keyword: 냄비받침 (Latency: 1.000s, Tokens: [P:2534, C:29, T:2563])
Q: 잘 안 엉키게 하는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 0.972s, Tokens: [P:2535, C:31, T:2566])
Q: 바닥 긁힘 막아주는 거 있어요? -> Keyword: 의자발커버 (Latency: 0.812s, Tokens: [P:2536, C:28, T:2564])
Q: 손 안 더러워지게 쓰는 거 있어요? -> Keyword: 청소솔 (Latency: 0.985s, Tokens: [P:2536, C:30, T:2566])
Q: 여름에 시원한 촉감 나는 거 있어요? -> Keyword: 냉감매트 (Latency: 0.980s, Tokens: [P:2537, C:29, T:2566])
Q: 겨울에 따뜻한 촉감 나는 거 있어요? -> Keyword: 수면양말 (Latency: 0.991s, Tokens: [P:2537, C:32, T:2569])
Q: 물 흡수 잘 되는 거 있어요? -> Keyword: 발매트 (Latency: 0.998s, Tokens: [P:2533, C:25, T:2558])
Q: 물 튀는 거 막아주는 거 있어요? -> Keyword: 물튀김방지커버 (Latency: 0.996s, Tokens: [P:2536, C:32, T:2568])
Q: 눌러도 안 찌그러지는 거 있어요? -> Keyword: 멜라민식기 (Latency: 1.005s, Tokens: [P:2536, C:30, T:2566])
Q: 공간 적게 차지하는 거 있어요? -> Keyword: 틈새수납장 (Latency: 1.003s, Tokens: [P:2534, C:32, T:2566])
Q: 고정 잘 되는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 1.003s, Tokens: [P:2532, C:31, T:2563])
Q: 한 손으로 쓰기 편한 거 있어요? -> Keyword: 자동디스펜서 (Latency: 0.989s, Tokens: [P:2535, C:29, T:2564])
Q: 뚜껑이 잘 안 열리는 거 있어요? -> Keyword: 병따개 (Latency: 0.992s, Tokens: [P:2535, C:34, T:2569])
Q: 아이가 혼자 써도 안전한 거 있어요? -> Keyword: 모서리보호대 (Latency: 0.995s, Tokens: [P:2536, C:31, T:2567])
Q: 투명해서 안에 보이는 거 있어요? -> Keyword: 투명정리함 (Latency: 0.831s, Tokens: [P:2533, C:28, T:2561])
Q: 걸어두면 공간 아끼는 거 있어요? -> Keyword: 행거 (Latency: 0.829s, Tokens: [P:2536, C:25, T:2561])
Q: 자석으로 붙는 거 있어요? -> Keyword: 자석후크 (Latency: 0.999s, Tokens: [P:2533, C:37, T:2570])
Q: 물에 담가도 되는 거 있어요? -> Keyword: 방수파우치 (Latency: 1.001s, Tokens: [P:2534, C:35, T:2569])
Q: 기름 안 튀게 하는 거 있어요? -> Keyword: 기름방지망 (Latency: 0.994s, Tokens: [P:2535, C:29, T:2564])
Q: 손잡이 안 뜨거워지는 거 있어요? -> Keyword: 냄비손잡이덮개 (Latency: 0.993s, Tokens: [P:2536, C:32, T:2568])
Q: 냄새 배는 거 막는 거 있어요? -> Keyword: 냄새흡수제 (Latency: 0.842s, Tokens: [P:2535, C:27, T:2562])
Q: 부드러운 촉감 나는 거 있어요? -> Keyword: 화장퍼프 (Latency: 1.008s, Tokens: [P:2535, C:32, T:2567])
Q: 튀어나온 데 보호하는 거 있어요? -> Keyword: 모서리보호대 (Latency: 0.989s, Tokens: [P:2534, C:41, T:2575])
Q: 자주 안 더러워지는 거 있어요? -> Keyword: 오염방지매트 (Latency: 0.830s, Tokens: [P:2535, C:30, T:2565])
Q: 쉽게 찢어지지 않는 거 있어요? -> Keyword: 포장테이프 (Latency: 0.999s, Tokens: [P:2535, C:39, T:2574])
Q: 끈적임 없이 고정되는 거 있어요? -> Keyword: 몬스터클리어젤 (Latency: 0.837s, Tokens: [P:2535, C:29, T:2564])
Q: 접착 말고 다른 방식으로 고정되는 거 있어요? -> Keyword: 꼭꼬핀 (Latency: 0.822s, Tokens: [P:2536, C:24, T:2560])
Q: 손에 힘 안 줘도 되는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 0.827s, Tokens: [P:2536, C:33, T:2569])
Q: 바람 막아주는 거 있어요? -> Keyword: 방풍비닐 (Latency: 1.008s, Tokens: [P:2533, C:32, T:2565])
Q: 햇빛 가려주는 거 있어요? -> Keyword: 암막커튼 (Latency: 0.827s, Tokens: [P:2533, C:23, T:2556])
Q: 습기 줄여주는 거 있어요? -> Keyword: 제습제 (Latency: 0.842s, Tokens: [P:2533, C:22, T:2555])
Q: 냄새 섞이지 않게 하는 거 있어요? -> Keyword: 밀폐용기 (Latency: 0.998s, Tokens: [P:2536, C:32, T:2568])
Q: 쉽게 들고 다닐 수 있는 거 있어요? -> Keyword: 가방 (Latency: 0.830s, Tokens: [P:2536, C:18, T:2554])
Q: 바퀴 안 굴러가게 하는 거 있어요? -> Keyword: 바퀴고정패드 (Latency: 1.015s, Tokens: [P:2537, C:31, T:2568])
Q: 물 얼룩 안 남는 거 있어요? -> Keyword: 물때제거제 (Latency: 0.823s, Tokens: [P:2534, C:25, T:2559])
Q: 손에 묻지 않게 쓰는 거 있어요? -> Keyword: 위생장갑 (Latency: 1.010s, Tokens: [P:2536, C:30, T:2566])
Q: 애 손 안 닿게 하는 거 있어요? -> Keyword: 안전잠금장치 (Latency: 0.988s, Tokens: [P:2535, C:31, T:2566])
Q: 쉽게 접었다 펼 수 있는 거 있어요? -> Keyword: 접이식의자 (Latency: 0.893s, Tokens: [P:2535, C:32, T:2567])
Q: 긁혀도 티 안 나는 거 있어요? -> Keyword: 상처보호필름 (Latency: 1.102s, Tokens: [P:2534, C:34, T:2568])
Q: 눌러도 소리 안 나는 거 있어요? -> Keyword: 소음방지패드 (Latency: 0.831s, Tokens: [P:2535, C:28, T:2563])
Q: 물에 젖어도 미끄럽지 않은 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 0.997s, Tokens: [P:2538, C:37, T:2575])
Q: 한 번 사두면 오래 쓰는 거 있어요? -> Keyword: 멜라민식기 (Latency: 1.003s, Tokens: [P:2535, C:33, T:2568])
Q: 열어두면 자동으로 닫히는 거 있어요? -> Keyword: 자동문닫힘장치 (Latency: 0.996s, Tokens: [P:2537, C:30, T:2567])
Q: 안 보이게 가릴 수 있는 거 있어요? -> Keyword: 가림막커튼 (Latency: 0.827s, Tokens: [P:2535, C:24, T:2559])
Q: 물기 많은 데 놔도 되는 거 있어요? -> Keyword: 방수매트 (Latency: 1.001s, Tokens: [P:2536, C:34, T:2570])
Q: 작은 물건 안 흩어지게 하는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 1.008s, Tokens: [P:2539, C:28, T:2567])
Q: 손 안 베이게 하는 거 있어요? -> Keyword: 안전장갑 (Latency: 0.829s, Tokens: [P:2534, C:25, T:2559])
Q: 냄새 새는 거 막는 거 있어요? -> Keyword: 밀폐용기 (Latency: 0.842s, Tokens: [P:2535, C:25, T:2560])
Q: 열면 자동으로 불 켜지는 거 있어요? -> Keyword: LED조명 (Latency: 0.996s, Tokens: [P:2535, C:32, T:2567])
Q: 쉽게 닦이는 표면이에요? -> Keyword: 코팅식탁보 (Latency: 1.160s, Tokens: [P:2534, C:42, T:2576])
Q: 무게 가벼운 거 있어요? -> Keyword: 휴대용저울 (Latency: 1.171s, Tokens: [P:2533, C:40, T:2573])
Q: 흔들리지 않게 세워두는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 0.988s, Tokens: [P:2537, C:36, T:2573])
Q: 눕혀놔도 안 쏟아지는 거 있어요? -> Keyword: 밀폐용기 (Latency: 0.839s, Tokens: [P:2537, C:26, T:2563])
Q: 전기 없이 쓰는 거 있어요? -> Keyword: 아날로그타이머 (Latency: 0.999s, Tokens: [P:2532, C:33, T:2565])
Q: 열 차단 잘 되는 거 있어요? -> Keyword: 단열시트 (Latency: 0.994s, Tokens: [P:2533, C:27, T:2560])
Q: 물 튀겨도 고장 안 나는 거 있어요? -> Keyword: 방수팩 (Latency: 0.838s, Tokens: [P:2537, C:25, T:2562])
Q: 손목 안 아프게 쓰는 거 있어요? -> Keyword: 손목보호대 (Latency: 1.007s, Tokens: [P:2535, C:31, T:2566])
Q: 땀 차지 않게 하는 거 있어요? -> Keyword: 땀흡수패드 (Latency: 0.997s, Tokens: [P:2533, C:30, T:2563])
Q: 애가 열 수 없게 하는 거 있어요? -> Keyword: 안전잠금장치 (Latency: 1.003s, Tokens: [P:2535, C:27, T:2562])
Q: 쉽게 부서지지 않는 거 있어요? -> Keyword: 멜라민식기 (Latency: 0.837s, Tokens: [P:2534, C:28, T:2562])
Q: 여러 개 한 번에 들 수 있는 거 있어요? -> Keyword: 장바구니 (Latency: 0.992s, Tokens: [P:2536, C:34, T:2570])
Q: 보관해도 곰팡이 안 생기는 거 있어요? -> Keyword: 제습제 (Latency: 0.829s, Tokens: [P:2538, C:25, T:2563])
Q: 긁힘 없이 닦이는 거 있어요? -> Keyword: 흠집제거제 (Latency: 0.999s, Tokens: [P:2534, C:34, T:2568])
Q: 밤에 불 안 켜도 보이는 거 있어요? -> Keyword: 야광시계 (Latency: 0.989s, Tokens: [P:2536, C:34, T:2570])
Q: 자주 넘어지지 않는 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 0.994s, Tokens: [P:2533, C:29, T:2562])
Q: 먼지 덜 붙는 재질 있어요? -> Keyword: 정전기방지솔 (Latency: 0.994s, Tokens: [P:2535, C:28, T:2563])
Q: 한 번에 정리 끝나는 거 있어요? -> Keyword: 정리함 (Latency: 0.997s, Tokens: [P:2534, C:31, T:2565])
Q: 냄새랑 습기 같이 잡는 거 있어요? -> Keyword: 탈취제 (Latency: 1.004s, Tokens: [P:2536, C:26, T:2562])
Q: 이동해도 내용물 안 섞이는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 0.997s, Tokens: [P:2537, C:30, T:2567])
Q: 열고 닫기 조용한 거 있어요? -> Keyword: 소음방지패드 (Latency: 0.830s, Tokens: [P:2535, C:26, T:2561])
Q: 안에 뭐 들었는지 바로 보이는 거 있어요? -> Keyword: 투명정리함 (Latency: 0.996s, Tokens: [P:2536, C:25, T:2561])
Q: 눌러도 원래대로 돌아오는 거 있어요? -> Keyword: 점토놀이 (Latency: 0.993s, Tokens: [P:2535, C:31, T:2566])
Q: 뚜껑 안 잃어버리게 붙어 있는 거 있어요? -> Keyword: 연결형케이스 (Latency: 0.833s, Tokens: [P:2540, C:26, T:2566])
Q: 열어둬도 냄새 안 퍼지는 거 있어요? -> Keyword: 탈취제 (Latency: 0.838s, Tokens: [P:2538, C:26, T:2564])
Q: 세워놔도 안 넘어지는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 0.991s, Tokens: [P:2535, C:35, T:2570])
Q: 손에 안 묻히고 버리는 거 있어요? -> Keyword: 청소집게 (Latency: 0.996s, Tokens: [P:2537, C:36, T:2573])
Q: 아이가 던져도 안 깨지는 거 있어요? -> Keyword: 멜라민식기 (Latency: 0.828s, Tokens: [P:2536, C:28, T:2564])
Q: 열면 바로 쓸 수 있는 거 있어요? -> Keyword: 물티슈 (Latency: 1.002s, Tokens: [P:2534, C:29, T:2563])
Q: 가방 안에서 자리 안 차지하는 거 있어요? -> Keyword: 압축팩 (Latency: 1.003s, Tokens: [P:2536, C:27, T:2563])
Q: 냄새 안 섞이게 분리되는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 0.996s, Tokens: [P:2538, C:31, T:2569])
Q: 바람 불어도 안 날아가는 거 있어요? -> Keyword: 빨래집게 (Latency: 1.000s, Tokens: [P:2536, C:35, T:2571])
Q: 닫아두면 자동으로 잠기는 거 있어요? -> Keyword: 자동잠금장치 (Latency: 1.005s, Tokens: [P:2535, C:27, T:2562])
Q: 손 안 더럽히고 짜는 거 있어요? -> Keyword: 튜브짜개 (Latency: 0.989s, Tokens: [P:2536, C:32, T:2568])
Q: 물기 있어도 붙는 거 있어요? -> Keyword: 흡착후크 (Latency: 0.833s, Tokens: [P:2534, C:29, T:2563])
Q: 한 번 붙이면 오래 가는 거 있어요? -> Keyword: 강력접착제 (Latency: 0.835s, Tokens: [P:2534, C:27, T:2561])
Q: 여러 군데 쓸 수 있는 거 있어요? -> Keyword: 다용도매트 (Latency: 0.995s, Tokens: [P:2534, C:29, T:2563])
