keyword;expanded_keywords;expanded_count;latency_ms;total_tokens;prompt_tokens;completion_tokens;error
통;"통; 수납; 정리";3;666.91;367;356;11;
싱크대 선반;"싱크대 선반; 싱크대; 선반; 주방용품; 정리; 수납";6;854.63;399;360;39;
방향제;"방향제; 실내; 탈취제; 생활용품; 향기; 냄새 제거";6;868.11;400;357;43;
숨김 용품;"숨김 용품; 수납; 용품; 정리용품; 다용도";5;773.81;384;359;25;
커튼봉;"커튼봉; 커튼; 봉; 홈데코; 커튼 부자재; 설치; 고정";7;943.48;407;358;49;
종이 호일;"종이 호일; 주방; 호일; 주방용품; 조리; 베이킹";6;866.0;403;359;44;
간식통;"간식통; 주방; 통; 주방용품; 보관";5;855.0;393;358;35;
점착제;"점착제; 접착제; 문구; 사무용품; 접착";5;783.83;382;358;24;
동전지갑;"동전지갑; 지갑; 패션잡화; 동전 보관";4;840.59;392;359;33;
설거지망;"설거지망; 주방; 망; 주방용품; 설거지; 건조";6;955.33;402;359;43;
콧받침;"콧받침; 안경; 안경 용품";3;846.79;383;359;24;
미끄럼 방지 패드;"미끄럼 방지 패드; 미끄럼방지 패드; 패드; 생활용품; 미끄럼방지";5;955.77;404;362;42;
자석 후크;"자석 후크; 후크; 다용도 걸이; 정리용품; 자석";5;950.04;399;359;40;
자전거 자물쇠;"자전거 자물쇠; 자전거; 자물쇠; 안전용품; 도난방지";5;954.25;401;360;41;
미끄럼방지패드;"미끄럼방지패드; 미끄럼방지; 패드; 생활용품; 안전; 미끄럼 방지 패드";6;1050.52;409;362;47;
휴지케이스;"휴지케이스; 휴지; 케이스; 생활용품; 정리";5;769.57;382;359;23;
발매트;"발매트; 현관; 매트; 홈데코; 미끄럼방지";5;942.0;391;358;33;
낚시의자;"낚시의자; 낚시; 의자; 레저; 캠핑; 휴대용";6;863.7;402;360;42;
용기;"용기; 주방; 보관용기; 주방용품; 정리; 보관";6;870.0;394;357;37;
안전용품;"안전용품; 안전; 용품; 안전/보안용품";4;970.59;392;358;34;
메꿈이;"메꿈이; 보수용품; 수리; DIY";4;959.24;383;358;25;
발판;"발판; 미끄럼방지 발판; 발판; 욕실용품; 미끄럼방지";5;861.92;395;357;38;
압축팩;"압축팩; 옷 정리; 정리팩; 팩; 수납용품; 정리; 압축";7;969.56;399;358;41;
포스트잇;"포스트잇; 사무실; 메모지; 문구; 점착 메모";5;867.42;382;358;24;
등받이;"등받이; 의자; 가구; 인테리어; 편안함; 휴대용";6;963.73;401;358;43;
장갑;"장갑; 장갑; 패션; 잡화; 보온";5;860.95;390;357;33;
고무장갑;"고무장갑; 주방; 장갑; 주방용품; 청소용품; 고무";6;953.67;404;359;45;
방수테이프;"방수테이프; 테이프; 잡화; 방수";4;857.49;391;360;31;
어항돌;"어항돌; 어항; 돌; 장식; 인테리어";5;858.71;392;358;34;
이어폰;"이어폰; 음향기기; 디지털; 핸드폰 용품; 음악감상";5;952.14;384;357;27;
가방커버;"가방커버; 가방; 커버; 여행용품; 보호; 방수";6;1036.53;401;359;42;
컵;"컵; 주방; 컵; 식기류; 물컵";5;761.71;376;357;19;
가리개;"가리개; 가림막; 생활용품; 인테리어";4;772.13;378;358;20;
문콕방지;"문콕방지; 자동차; 보호; 자동차용품; 보호; 스크래치 방지";6;967.03;397;359;38;
우산 커버;"우산 커버; 우산; 커버; 생활용품; 비; 우천용품";6;1040.14;402;359;43;
돼지코;"돼지코; 콘센트; 전자제품; 변환기";4;959.13;384;358;26;
철 수세미;"철 수세미; 수세미; 주방; 청소용품; 녹 제거";5;868.01;384;359;25;
벽지낙서제거제;"벽지낙서제거제; 벽; 낙서제거제; 제거제; 청소용품; 벽지; 낙서; 청소";8;1136.75;415;362;53;
손톱 정리 세트;"손톱 정리 세트; 손톱; 정리 세트; 세트; 미용; 네일케어";6;949.78;406;360;46;
안전 콘센트 덮개;"안전 콘센트 덮개; 콘센트 덮개; 덮개; 안전용품; 안전; 콘센트; 유아; 어린이";8;971.69;427;362;65;
귀마개;"귀마개; 귀; 마개; 안전용품; 소음방지";5;860.32;395;358;37;
우산;"우산; 비; 우산; 패션; 장마";5;862.97;376;357;19;
헤어드라이기;"헤어드라이기; 드라이기; 미용; 헤어; 전자기기; 머리; 건조";7;1064.29;410;360;50;
퐁퐁;"퐁퐁; 주방; 세제; 세탁세제; 청소";5;851.72;380;358;22;
머리끈;"머리끈; 헤어; 끈; 액세서리; 헤어액세서리; 머리; 묶는";7;1045.1;409;358;51;
문닫힘 방지 쿠션;"문닫힘 방지 쿠션; 문닫힘 방지; 쿠션; 생활용품; 안전; 가구";6;984.23;404;362;42;
우산 물받이;"우산 물받이; 현관; 물받이; 생활용품; 우산꽂이; 물기 제거";6;956.93;407;360;47;
탄 거 닦는 가루;"탄 거 닦는 가루; 주방; 세제; 청소용품; 탄 자국 제거";5;1061.64;404;362;42;
물티슈;"물티슈; 생활; 티슈; 청소용품; 닦기";5;957.15;388;358;30;
병;"병; 주방; 병; 주방용품; 보관";5;835.83;376;356;20;
스트레스 해소 용품;"스트레스 해소 용품; 스트레스 해소; 해소 용품; 용품; 취미; 팬시; 스트레스 감소; 정신 건강";8;1021.5;422;361;61;
고데기받침;"고데기받침; 고데기; 받침; 미용용품; 헤어스타일링";5;906.4;402;360;42;
기름 방지;"기름 방지; 주방; 방지; 주방용품; 기름; 방수";6;864.85;401;358;43;
빨래집게;"빨래집게; 세탁; 집게; 세탁용품; 고정";5;860.9;383;359;24;
선정리함;"선정리함; 정리함; 수납; 수납용품; 정리";5;851.94;396;358;38;
탈취제;"탈취제; 냄새 제거제; 방향제; 생활용품; 탈취; 냄새 제거; 향기";7;871.77;392;358;34;
유리창 닦이;"유리창 닦이; 창문; 닦이; 청소용품; 유리; 청소";6;753.96;399;360;39;
바구니 뚜껑;"바구니 뚜껑; 바구니; 뚜껑; 수납용품; 정리";5;949.96;401;361;40;
팔굽혀펴기 기구;"팔굽혀펴기 기구; 운동; 기구; 헬스; 근력운동";5;968.52;395;362;33;
물티슈통;"물티슈통; 물티슈; 통; 생활용품; 정리";5;764.0;382;359;23;
계절용품;"계절용품; 계절; 용품; 생활용품; 인테리어";5;855.8;396;359;37;
테이프;"테이프; 사무실; 테이프; 문구; 접착";5;965.54;394;358;36;
고리;"고리; 다용도; 걸이; 수납용품; 정리";5;762.67;380;357;23;
걸이;"걸이; 옷걸이; 수납용품; 정리용품; 다용도걸이";5;951.04;393;357;36;
머리카락 거름망;"머리카락 거름망; 배수구; 거름망; 청소용품; 필터; 막힘 방지";6;961.2;404;361;43;
화장품 공병;"화장품 공병; 화장품; 공병; 병; 미용; 화장품 용품; DIY";7;1053.49;410;360;50;
매트;"매트; 바닥; 깔개; 인테리어; 미끄럼방지; 장식";6;849.66;400;357;43;
고정하는 거;"고정하는 거; 고정; 잡화; 다용도; 수납";5;951.47;395;359;36;
가죽 가방 닦는 크림;"가죽 가방 닦는 크림; 가죽 가방; 가방 크림; 크림; 가죽; 생활용품; 가방; 세척; 가죽관리";9;1148.35;434;364;70;
선반;"선반; 수납; 정리; 인테리어; 다용도";5;857.41;392;357;35;
쓰레기통;"쓰레기통; 주방; 통; 생활용품; 정리용품; 휴지통";6;1051.79;403;359;44;
노트북 받침대;"노트북 받침대; 노트북; 받침대; 디지털; 사무용품; 거치대; 쿨링; 높이조절";8;1060.04;421;359;62;
틈새 스펀지;"틈새 스펀지; 스펀지; 청소용품; 틈새 청소";4;951.02;392;361;31;
수도꼭지;"수도꼭지; 주방; 수도; 배관; 생활용품; 간편설치";6;858.02;396;358;38;
미술용품;"미술용품; 미술; 용품; 취미; 문구";5;855.78;388;358;30;
냄새 제거제;"냄새 제거제; 탈취제; 방향제; 생활용품; 냄새 제거; 탈취";6;966.47;405;360;45;
방충망 보수 테이프;"방충망 보수 테이프; 방충망; 보수 테이프; 테이프; 생활용품; 보수; 수리";7;1050.23;413;363;50;
방석;"방석; 거실; 쿠션; 홈데코; 인테리어";5;815.51;379;357;22;
집게;"집게; 주방; 주방용품; 조리도구; 고정";5;897.7;381;357;24;
바닥 매트;"바닥 매트; 바닥; 매트; 홈데코; 미끄럼방지; 인테리어";6;855.05;405;359;46;
인테리어 소품;"인테리어 소품; 실내; 소품; 인테리어; 장식";5;952.6;397;360;37;
돌돌이;"돌돌이; 청소; 청소용품; 먼지제거";4;949.69;386;358;28;
먼지 제거제;"먼지 제거제; 청소; 제거제; 청소용품; 먼지 제거";5;865.59;398;359;39;
리빙박스;"리빙박스; 정리; 수납; 박스; 리빙; 수납용품; 정리함";7;948.86;402;359;43;
신발장 탈취제;"신발장 탈취제; 신발장; 탈취제; 생활용품; 탈취";5;776.93;396;361;35;
플라스틱 바구니;"플라스틱 바구니; 바구니; 수납용품; 플라스틱; 정리";5;865.21;397;361;36;
정리용 통;"정리용 통; 정리; 통; 수납용품; 정리정돈";5;860.02;391;358;33;
운동화 세탁망;"운동화 세탁망; 세탁망; 세탁용품; 세탁; 신발; 운동화";6;949.24;390;360;30;
학용품;"학용품; 학교; 문구; 사무용품; 필기구; 문구류";6;954.53;395;358;37;
여권케이스;"여권케이스; 여권; 케이스; 여행용품; 수납";5;850.85;395;359;36;
허리 줄이는 핀;"허리 줄이는 핀; 옷핀; 핀; 의류; 옷 수선; 허리 조절";6;1049.19;400;361;39;
목베개;"목베개; 베개; 여행용품; 휴대용; 목 지지";5;949.77;395;358;37;
라이터;"라이터; 담배; 불; 라이터; 잡화; 휴대용";6;854.94;381;357;24;
동전 건전지;"동전 건전지; 건전지; 배터리; 전자기기; 전자제품; 소형; 리튬";7;948.3;411;360;51;
면 마스크;"면 마스크; 마스크; 패션; 위생; 얼굴 가리개";5;954.49;390;358;32;
책갈피;"책갈피; 책; 문구; 사무용품; 독서";5;947.72;393;358;35;
김장용 비닐봉투;"김장용 비닐봉투; 김장; 비닐봉투; 주방용품; 식품 보관";5;955.53;406;362;44;
기름종이;"기름종이; 얼굴; 종이; 미용; 피지흡수";5;861.63;390;358;32;
강아지 간식;"강아지 간식; 강아지; 간식; 애완용품; 강아지 용품";5;954.61;402;360;42;
세면도구통;"세면도구통; 욕실; 통; 욕실용품; 정리; 수납";6;853.44;403;360;43;
물기 닦는 거;"물기 닦는 거; 물기; 청소용품; 청소; 흡수; 닦는";6;954.3;391;361;30;
주방용 타이머;"주방용 타이머; 주방; 타이머; 주방용품; 시간 측정";5;772.38;386;360;26;
대시보드커버;"대시보드커버; 자동차; 커버; 차량용품; 보호; 미끄럼방지";6;951.83;402;361;41;
욕실 실리콘;"욕실 실리콘; 욕실; 실리콘; 욕실용품; 방수; 실링";6;1050.26;405;360;45;
캠핑용 조명;"캠핑용 조명; 캠핑; 조명; 캠핑용품; 조명; 야외용";6;951.84;405;360;45;
실내화 주머니;"실내화 주머니; 실내; 주머니; 가방; 신발; 수납";6;778.34;387;360;27;
넘어짐 방지 스티커;"넘어짐 방지 스티커; 안전 스티커; 미끄럼방지 스티커; 스티커; 안전용품; 미끄럼방지";6;876.22;406;362;44;
스티커;"스티커; 문구; 다이어리 꾸미기; 꾸미기";4;772.98;379;358;21;
신발;"신발; 신발; 패션; 잡화";4;858.06;384;357;27;
수건;"수건; 욕실; 수건; 세탁용품; 흡수성";5;756.34;393;357;36;
도시락틀;"도시락틀; 도시락; 틀; 주방용품; 데코레이션";5;861.5;395;358;37;
일회용 면도기;"일회용 면도기; 면도기; 면도용품; 생활용품; 일회용";5;1051.61;398;361;37;
수건걸이;"수건걸이; 욕실; 걸이; 욕실용품; 수건";5;881.76;391;359;32;
옷정리;"옷정리; 옷; 정리; 수납용품; 정리정돈";5;861.6;395;358;37;
서랍 잠금장치;"서랍 잠금장치; 서랍; 잠금장치; 수납용품; 안전용품; 잠금";6;956.04;404;361;43;
욕실 실리콘 곰팡이 지우는 젤;"욕실 실리콘 곰팡이 지우는 젤; 곰팡이 제거 젤; 욕실 곰팡이 제거 젤; 젤; 욕실; 청소용품; 곰팡이 제거";7;1058.04;433;369;64;
먼지떨이;"먼지떨이; 청소; 청소용품; 먼지 제거";4;776.5;387;359;28;
바지 걸이;"바지 걸이; 옷장; 걸이; 정리용품; 수납; 옷걸이";6;952.12;397;359;38;
방충망;"방충망; 창문; 망; 생활용품; 해충퇴치";5;867.17;381;358;23;
물티슈 뚜껑;"물티슈 뚜껑; 물티슈; 뚜껑; 생활용품; 위생용품; 리필용";6;962.22;403;361;42;
압축봉;"압축봉; 봉; 수납; 정리; 다용도";5;858.33;392;358;34;
냄비손잡이;"냄비손잡이; 주방; 손잡이; 주방용품; 잡기 쉬운; 안전한";6;958.28;409;361;48;
벌레 물린데 바르는 약;"벌레 물린데 바르는 약; 벌레 물린데 약; 상비약; 의약품; 벌레 물린데; 가려움 완화; 피부 진정";7;1049.39;421;363;58;
전자레인지용 그릇;"전자레인지용 그릇; 전자레인지; 그릇; 주방용품; 식기; 전자레인지 사용가능";6;852.72;410;361;49;
가방정리함;"가방정리함; 가방 정리; 정리함; 수납용품; 정리; 수납";6;857.26;406;360;46;
빨래 건조대;"빨래 건조대; 건조대; 세탁; 세탁용품; 빨래";5;957.85;399;360;39;
고무;"고무; 문구; 미술용품; 공예";4;850.08;382;357;25;
전화번호 판;"전화번호 판; 전화번호; 판; 자동차용품; 주차; 비상연락";6;850.0;396;358;38;
식탁매트;"식탁매트; 식탁; 매트; 주방용품; 생활용품; 테이블매트";6;1050.72;399;359;40;
장바구니;"장바구니; 쇼핑; 바구니; 생활용품; 수납";5;867.82;391;359;32;
건전지;"건전지; 전기; 전자제품; 배터리";4;782.49;376;358;18;
차량용 충전 잭;"차량용 충전 잭; 차량; 충전 잭; 잭; 차량용품; 충전기";6;949.85;403;361;42;
이어폰 정리;"이어폰 정리; 이어폰; 정리; 디지털; 핸드폰 용품; 케이블 정리; 이어폰 보관";7;863.49;393;358;35;
안경 닦는 천;"안경 닦는 천; 안경; 천; 클리너; 안경 용품; 청소";6;957.63;400;361;39;
생활용품;생활용품;1;759.11;363;358;5;
선풍기;"선풍기; 여름; 냉방기; 가전제품; 쿨";5;758.42;380;358;22;
다이어리 펀치;"다이어리 펀치; 다이어리; 펀치; 문구; 사무용품; 제본";6;859.64;401;361;40;
정리용품;"정리용품; 수납; 정리; 생활용품; 수납용품; 정돈";6;856.05;387;358;29;
멀티탭;"멀티탭; 전기; 탭; 전기용품; 콘센트";5;774.44;381;358;23;
소리;소리;1;674.83;366;357;9;
클리어파일;"클리어파일; 파일; 문구; 정리; 서류철";5;949.75;392;358;34;
색연필통;"색연필통; 책상; 필통; 문구; 정리; 보관";6;863.55;400;359;41;
소음 방지 캡;"소음 방지 캡; 소음방지캡; 캡; 생활용품; 소음방지";5;860.09;398;361;37;
이름표 테이프;"이름표 테이프; 이름표; 테이프; 사무용품; 문구; 접착";6;947.45;401;360;41;
종이 필터;"종이 필터; 필터; 주방; 주방용품; 커피 필터";5;851.62;398;359;39;
미끄럼 방지 매트;"미끄럼 방지 매트; 미끄럼방지 매트; 매트; 생활용품; 미끄럼방지";5;852.37;396;362;34;
그릇받침;"그릇받침; 주방; 받침; 주방용품; 식기";5;825.35;391;359;32;
슬리퍼 주머니;"슬리퍼 주머니; 신발장; 주머니; 정리용품; 수납; 걸이형";6;994.29;406;360;46;
보풀제거기;"보풀제거기; 옷; 제거기; 의류; 생활용품; 보풀 제거";6;955.12;404;360;44;
메모판;"메모판; 사무실; 보드; 사무용품; 필기구; 메모";6;958.23;401;357;44;
에어프라이어 종이;"에어프라이어 종이; 에어프라이어; 종이; 주방용품; 종이호일; 필터";6;958.61;413;362;51;
순간접착제;"순간접착제; 접착제; 문구; 사무용품; 접착";5;855.13;398;359;39;
창문 닦는 밀대;"창문 닦는 밀대; 창문; 밀대; 청소용품; 청소; 창문 청소";6;963.41;404;362;42;
보풀 제거기;"보풀 제거기; 옷; 제거기; 의류; 청소용품; 보풀제거";6;1046.58;404;359;45;
운동화 끈 고정;"운동화 끈 고정; 운동화; 신발; 끈; 액세서리; 신발용품; 고정";7;943.97;413;361;52;
먼지 제거 스프레이;"먼지 제거 스프레이; 스프레이; 청소용품; 먼지 제거";4;871.55;394;360;34;
아이폰 충전기;"아이폰 충전기; 아이폰; 충전기; 디지털; 핸드폰 용품; 충전";6;957.92;406;360;46;
빨래 바구니;"빨래 바구니; 세탁실; 바구니; 수납용품; 정리; 세탁";6;953.36;406;360;46;
앞치마;"앞치마; 주방; 조리; 주방용품; 생활용품; 방수; 오염방지";7;955.43;392;358;34;
돗자리;"돗자리; 야외; 자리; 캠핑용품; 휴대용; 피크닉";6;951.23;400;358;42;
네임 스티커;"네임 스티커; 이름 스티커; 스티커; 문구; 사무용품; 학용품; 접착 스티커; 이름표";8;1237.33;424;360;64;
수납함;"수납함; 수납; 정리함; 정리용품; 수납 정리";5;971.02;391;358;33;
탁상용 거울;"탁상용 거울; 탁상용; 거울; 미용; 화장대; 인테리어";6;943.36;399;360;39;
비닐 매트;"비닐 매트; 매트; 바닥; 생활용품; 방수; 미끄럼방지";6;949.63;404;359;45;
선물 포장 리본;"선물 포장 리본; 선물; 포장 리본; 리본; 파티용품; 포장; 장식";7;1006.22;413;360;53;
자취용품;"자취용품; 생활용품; 1인 가구; 미니멀";4;826.35;392;359;33;
세탁망;"세탁망; 세탁; 세탁용품; 정리용품; 세탁물 보호";5;858.47;393;358;35;
필수템;필수템;1;769.37;362;357;5;
바구니;"바구니; 정리; 수납; 다용도; 정리용품; 수납용품";6;748.52;388;358;30;
안대;"안대; 눈; 수면용품; 패션; 가리개";5;972.6;392;357;35;
접이식 의자;"접이식 의자; 의자; 캠핑 용품; 간편한; 휴대용";5;919.79;395;360;35;
핸드폰 충전선 정리대;"핸드폰 충전선 정리대; 핸드폰; 충전선 정리대; 정리대; 디지털; 핸드폰 용품; 정리";7;893.09;405;363;42;
욕실 청소용 솔;"욕실 청소용 솔; 욕실; 청소용 솔; 솔; 청소용품; 욕실용품; 청소";7;1040.32;415;361;54;
기름막이;"기름막이; 주방; 막이; 주방용품; 기름 튐 방지";5;946.0;396;358;38;
찍찍이;"찍찍이; 생활용품; 다용도";3;806.35;373;358;15;
핫팩;"핫팩; 겨울; 난방용품; 생활용품; 따뜻한; 휴대용";6;964.49;396;358;38;
장난감;"장난감; 놀이방; 인형; 장난감; 어린이";5;761.61;382;358;24;
얼룩 제거 펜;"얼룩 제거 펜; 얼룩제거펜; 펜; 사무용품; 문구; 얼룩제거";6;1051.19;408;360;48;
바느질 세트;"바느질 세트; 세트; 취미용품; 바느질; DIY";5;868.59;393;360;33;
렌즈 세척액;"렌즈 세척액; 렌즈; 세척액; 미용; 눈; 세척";6;958.43;397;361;36;
문풍지;"문풍지; 현관; 틈막이; 생활용품; 바람막이; 방풍";6;859.33;387;358;29;
방법;방법;1;571.36;359;356;3;
가구 긁힘 보수펜;"가구 긁힘 보수펜; 가구; 보수펜; 생활용품; 가구보수; 긁힘방지";6;955.22;408;363;45;
안전 잠금 장치;"안전 잠금 장치; 잠금 장치; 안전; 안전용품; 보안";5;863.13;401;360;41;
긁힘 방지 패드;"긁힘 방지 패드; 긁힘 방지; 패드; 생활용품; 가구; 보호; 미끄럼 방지";7;966.88;417;362;55;
여권 커버;"여권 커버; 여권; 커버; 여행용품; 보호";5;851.93;395;359;36;
슬리퍼;"슬리퍼; 실내; 신발; 잡화; 미끄럼방지; 편한";6;860.47;386;358;28;
아기들 칫솔;"아기들 칫솔; 아기; 칫솔; 구강용품; 유아용품; 어린이";6;954.77;409;361;48;
아이스박스;"아이스박스; 캠핑; 박스; 캠핑용품; 보관; 휴대용";6;888.45;397;359;38;
물감 팔레트;"물감 팔레트; 팔레트; 미술용품; 물감; 미술";5;926.23;399;360;39;
반지 사이즈 조절링;"반지 사이즈 조절링; 반지; 조절링; 악세사리; 사이즈 조절";5;764.36;389;360;29;
제습제;"제습제; 습기 제거; 습기; 생활용품; 제습";5;850.66;389;358;31;
분무기;"분무기; 다용도; 분무기; 청소용품; 액체 보관; 액체 분사";6;956.63;400;358;42;
신발 탈취제;"신발 탈취제; 신발; 탈취제; 방향제; 탈취; 냄새 제거";6;856.79;390;360;30;
구두주걱;"구두주걱; 신발; 주걱; 신발용품; 편리한";5;859.16;397;359;38;
안전덮개;"안전덮개; 덮개; 안전용품; 보호; 안전";5;864.89;382;358;24;
냉장고 탈취제;"냉장고 탈취제; 냉장고; 탈취제; 주방용품; 냄새 제거";5;874.76;403;361;42;
문 틈 막이;"문 틈 막이; 문; 틈 막이; 안전용품; 방풍; 먼지 차단; 소음 감소";7;1129.02;413;360;53;
신발정리대;"신발정리대; 신발; 정리대; 수납용품; 정리; 신발장 정리";6;1053.37;407;360;47;
S자 고리;"S자 고리; 고리; 다용도 걸이; 정리용품; 걸이";5;1047.2;399;359;40;
장난감 정리 박스;"장난감 정리 박스; 장난감; 정리 박스; 박스; 수납용품; 정리; 수납";7;870.33;408;361;47;
빨래망;"빨래망; 세탁; 망; 세탁용품; 세탁망";5;763.02;381;358;23;
에어컨 세정제;"에어컨 세정제; 에어컨; 세정제; 청소용품; 세척; 탈취";6;855.27;393;361;32;
바람막이;"바람막이; 의류; 아웃도어; 방풍; 가을; 겨울";6;951.05;395;358;37;
자동차 바퀴 휠 닦는 거;"자동차 바퀴 휠 닦는 거; 자동차; 휠 닦는 도구; 청소용품; 세차용품; 휠; 바퀴; 청소";8;960.73;420;364;56;
창문 잠금 장치;"창문 잠금 장치; 창문; 잠금 장치; 안전용품; 방범";5;859.99;397;361;36;
오일;"오일; 주방; 오일; 식품; 요리";5;953.86;390;357;33;
꽃 가위;"꽃 가위; 가드닝; 가위; 원예용품; 절삭력; 꽃꽂이";6;854.32;403;358;45;
샴푸통;"샴푸통; 욕실; 통; 욕실용품; 리필용기";5;878.97;396;359;37;
보관;"보관; 수납; 정리; 다용도";4;764.35;374;357;17;
핸드폰 거치대;"핸드폰 거치대; 핸드폰; 거치대; 디지털; 핸드폰 용품; 스마트폰; 휴대폰";7;955.77;417;361;56;
주방 가위;"주방 가위; 주방; 가위; 주방용품; 칼; 조리도구";6;951.47;397;359;38;
덧버선;"덧버선; 덧신; 버선; 양말; 패션; 보온";6;950.43;399;359;40;
부직포;"부직포; 수납; 정리; 생활용품; 다용도";5;948.7;389;358;31;
효자손;"효자손; 등; 안마; 건강; 시원한";5;862.62;387;358;29;
클레이;"클레이; 점토; 미술; 미술용품; 만들기; DIY";6;951.23;392;357;35;
패치;"패치; 피부; 의약외품; 상처; 보호";5;868.72;379;357;22;
물병 고정대;"물병 고정대; 물병; 고정대; 정리용품; 수납; 고정";6;1054.89;405;360;45;
덧신;"덧신; 신발; 패션; 양말";4;865.91;385;358;27;
빨래 주머니;"빨래 주머니; 세탁; 주머니; 세탁용품; 정리; 수납";6;956.45;396;359;37;
침대 시트 고정 집게;"침대 시트 고정 집게; 침대; 시트 고정 집게; 집게; 침구; 정리용품; 고정";7;1052.32;420;363;57;
머리 감을 때 쓰는 브러쉬;"머리 감을 때 쓰는 브러쉬; 헤어 브러쉬; 브러쉬; 미용용품; 헤어; 두피 마사지";6;957.03;419;364;55;
화장품 보관 용기;"화장품 보관 용기; 화장품용기; 보관 용기; 용기; 화장품; 정리; 수납";7;954.9;411;362;49;
전선 정리 타이;"전선 정리 타이; 전선; 정리 타이; 타이; 전기; 전선정리; 정리";7;934.28;400;359;41;
젤리;"젤리; 간식; 식품; 디저트; 달콤한";5;898.66;393;358;35;
파우치;"파우치; 가방; 정리; 수납";4;849.52;382;358;24;
자전거 체인 기름;"자전거 체인 기름; 자전거; 체인 기름; 기름; 자전거 용품; 체인 윤활";6;952.76;407;360;47;
자전거 바람 넣는 기계;"자전거 바람 넣는 기계; 자전거; 바람 넣는 기계; 기계; 자전거 용품; 바람 주입";6;955.42;414;362;52;
습기 제거제;"습기 제거제; 습기; 제거제; 생활용품; 습기 제거";5;867.1;397;359;38;
그물망;"그물망; 네트; 수납용품; 정리용품; 다용도";5;863.89;384;358;26;
하수구 뚫는 세제;"하수구 뚫는 세제; 하수구세제; 세제; 청소용품; 배수구; 뚫어뻥; 청소";7;1050.15;421;363;58;
타이머;"타이머; 주방; 시계; 주방용품; 측정";5;957.67;393;357;36;
와인 오프너;"와인 오프너; 주방; 오프너; 주방용품; 병따개";5;879.05;400;360;40;
문 스토퍼;"문 스토퍼; 문; 스토퍼; 안전용품; 고정";5;859.56;391;359;32;
