Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 행주 (Latency: 9.665s, Tokens: [P:122, C:2, T:1757])
Q: 손 안 더러워지게 쓰는 거 있어요? -> Keyword: 장갑 (Latency: 3.354s, Tokens: [P:120, C:2, T:513])
Q: 여름에 시원한 촉감 나는 거 있어요? -> Keyword: 냉감 용품 (Latency: 7.425s, Tokens: [P:121, C:4, T:1469])
Q: 겨울에 따뜻한 촉감 나는 거 있어요? -> Keyword: 담요 (Latency: 7.794s, Tokens: [P:121, C:2, T:1482])
Q: 물 흡수 잘 되는 거 있어요? -> Keyword: 행주 (Latency: 11.141s, Tokens: [P:117, C:2, T:2377])
Q: 물 튀는 거 막아주는 거 있어요? -> Keyword: 물막이 (Latency: 4.760s, Tokens: [P:120, C:3, T:911])
Q: 눌러도 안 찌그러지는 거 있어요? -> Keyword: 용기 (Latency: 4.438s, Tokens: [P:120, C:2, T:956])
Q: 공간 적게 차지하는 거 있어요? -> Keyword: 공간 절약 (Latency: 8.101s, Tokens: [P:118, C:4, T:1681])
Q: 고정 잘 되는 거 있어요? -> Keyword: 고정용품 (Latency: 5.034s, Tokens: [P:116, C:4, T:1028])
Q: 한 손으로 쓰기 편한 거 있어요? -> Keyword: 한손용품 (Latency: 10.873s, Tokens: [P:119, C:4, T:2156])
Q: 뚜껑이 잘 안 열리는 거 있어요? -> Keyword: 밀폐용기 (Latency: 3.161s, Tokens: [P:119, C:4, T:623])
Q: 아이가 혼자 써도 안전한 거 있어요? -> Keyword: 아동용품 (Latency: 13.668s, Tokens: [P:120, C:4, T:2788])
Q: 투명해서 안에 보이는 거 있어요? -> Keyword: 수납함 (Latency: 4.677s, Tokens: [P:117, C:3, T:841])
Q: 걸어두면 공간 아끼는 거 있어요? -> Keyword: 수납걸이 (Latency: 9.352s, Tokens: [P:120, C:4, T:1736])
Q: 자석으로 붙는 거 있어요? -> Keyword: 자석 (Latency: 5.365s, Tokens: [P:117, C:2, T:1067])
Q: 물에 담가도 되는 거 있어요? -> Keyword: 방수용품 (Latency: 11.970s, Tokens: [P:118, C:4, T:2166])
Q: 기름 안 튀게 하는 거 있어요? -> Keyword: 튀김 방지망 (Latency: 2.365s, Tokens: [P:119, C:5, T:495])
Q: 손잡이 안 뜨거워지는 거 있어요? -> Keyword: 손잡이 커버 (Latency: 5.921s, Tokens: [P:120, C:5, T:1196])
Q: 냄새 배는 거 막는 거 있어요? -> Keyword: 탈취제 (Latency: 4.220s, Tokens: [P:119, C:3, T:789])
Q: 부드러운 촉감 나는 거 있어요? -> Keyword: 천 (Latency: 11.343s, Tokens: [P:119, C:1, T:2151])
Q: 튀어나온 데 보호하는 거 있어요? -> Keyword: 모서리 보호대 (Latency: 9.764s, Tokens: [P:118, C:5, T:1921])
Q: 자주 안 더러워지는 거 있어요? -> Keyword: 매트 (Latency: 11.269s, Tokens: [P:119, C:2, T:2191])
Q: 쉽게 찢어지지 않는 거 있어요? -> Keyword: 봉투 (Latency: 3.108s, Tokens: [P:119, C:2, T:547])
Q: 끈적임 없이 고정되는 거 있어요? -> Keyword: 고정 (Latency: 4.165s, Tokens: [P:119, C:2, T:798])
Q: 접착 말고 다른 방식으로 고정되는 거 있어요? -> Keyword: 고정용품 (Latency: 15.457s, Tokens: [P:120, C:4, T:3173])
Q: 손에 힘 안 줘도 되는 거 있어요? -> Keyword: 가위 (Latency: 5.131s, Tokens: [P:120, C:2, T:868])
Q: 바람 막아주는 거 있어요? -> Keyword: 바람막이 (Latency: 1.158s, Tokens: [P:117, C:4, T:227])
Q: 햇빛 가려주는 거 있어요? -> Keyword: 햇빛가리개 (Latency: 3.882s, Tokens: [P:117, C:5, T:786])
Q: 습기 줄여주는 거 있어요? -> Keyword: 제습제 (Latency: 2.384s, Tokens: [P:117, C:3, T:432])
Q: 냄새 섞이지 않게 하는 거 있어요? -> Keyword: 탈취제 (Latency: 3.707s, Tokens: [P:120, C:3, T:659])
Q: 쉽게 들고 다닐 수 있는 거 있어요? -> Keyword: 가방 (Latency: 9.338s, Tokens: [P:120, C:2, T:1848])
Q: 바퀴 안 굴러가게 하는 거 있어요? -> Keyword: 고임목 (Latency: 4.217s, Tokens: [P:121, C:3, T:832])
Q: 물 얼룩 안 남는 거 있어요? -> Keyword: 극세사 수건 (Latency: 8.429s, Tokens: [P:118, C:5, T:1746])
Q: 손에 묻지 않게 쓰는 거 있어요? -> Keyword: 크레파스 홀더 (Latency: 17.139s, Tokens: [P:120, C:6, T:3407])
Q: 애 손 안 닿게 하는 거 있어요? -> Keyword: 안전 잠금장치 (Latency: 5.427s, Tokens: [P:119, C:6, T:1058])
Q: 쉽게 접었다 펼 수 있는 거 있어요? -> Keyword: 접이식 (Latency: 9.844s, Tokens: [P:119, C:3, T:2047])
Q: 긁혀도 티 안 나는 거 있어요? -> Keyword: 보호필름 (Latency: 15.963s, Tokens: [P:118, C:4, T:3018])
Q: 눌러도 소리 안 나는 거 있어요? -> Keyword: 피젯 토이 (Latency: 10.259s, Tokens: [P:119, C:4, T:2200])
Q: 물에 젖어도 미끄럽지 않은 거 있어요? -> Keyword: 미끄럼 방지 (Latency: 9.405s, Tokens: [P:122, C:5, T:1974])
Q: 한 번 사두면 오래 쓰는 거 있어요? -> Keyword: 다회용품 (Latency: 15.436s, Tokens: [P:119, C:4, T:2992])
Q: 열어두면 자동으로 닫히는 거 있어요? -> Keyword: 자동문닫이 (Latency: 3.254s, Tokens: [P:121, C:4, T:623])
Q: 안 보이게 가릴 수 있는 거 있어요? -> Keyword: 가림막 (Latency: 4.987s, Tokens: [P:119, C:3, T:954])
Q: 물기 많은 데 놔도 되는 거 있어요? -> Keyword: 욕실용품 (Latency: 6.108s, Tokens: [P:120, C:4, T:1190])
Q: 작은 물건 안 흩어지게 하는 거 있어요? -> Keyword: 수납함 (Latency: 2.681s, Tokens: [P:123, C:3, T:543])
Q: 손 안 베이게 하는 거 있어요? -> Keyword: 베임방지장갑 (Latency: 2.413s, Tokens: [P:118, C:6, T:538])
Q: 냄새 새는 거 막는 거 있어요? -> Keyword: 냄새차단 (Latency: 7.302s, Tokens: [P:119, C:4, T:1353])
Q: 열면 자동으로 불 켜지는 거 있어요? -> Keyword: 센서등 (Latency: 4.005s, Tokens: [P:119, C:3, T:810])
Q: 쉽게 닦이는 표면이에요? -> Keyword: 매트 (Latency: 12.700s, Tokens: [P:118, C:2, T:2595])
Q: 무게 가벼운 거 있어요? -> Keyword: 가벼운 거 (Latency: 11.182s, Tokens: [P:117, C:4, T:2304])
Q: 흔들리지 않게 세워두는 거 있어요? -> Keyword: 거치대 (Latency: 5.680s, Tokens: [P:121, C:3, T:1191])
Q: 눕혀놔도 안 쏟아지는 거 있어요? -> Keyword: 텀블러 (Latency: 3.058s, Tokens: [P:121, C:3, T:655])
Q: 전기 없이 쓰는 거 있어요? -> Keyword: 수동 용품 (Latency: 16.991s, Tokens: [P:116, C:4, T:3472])
Q: 열 차단 잘 되는 거 있어요? -> Keyword: 열 차단 (Latency: 6.425s, Tokens: [P:117, C:3, T:1282])
Q: 물 튀겨도 고장 안 나는 거 있어요? -> Keyword: 방수 (Latency: 3.073s, Tokens: [P:121, C:2, T:669])
Q: 손목 안 아프게 쓰는 거 있어요? -> Keyword: 손목 보호대 (Latency: 3.534s, Tokens: [P:119, C:4, T:666])
Q: 땀 차지 않게 하는 거 있어요? -> Keyword: 데오드란트 (Latency: 2.397s, Tokens: [P:117, C:5, T:462])
Q: 애가 열 수 없게 하는 거 있어요? -> Keyword: 안전 잠금장치 (Latency: 5.844s, Tokens: [P:119, C:6, T:1213])
Q: 쉽게 부서지지 않는 거 있어요? -> Keyword: 물건 (Latency: 9.494s, Tokens: [P:118, C:2, T:1873])
Q: 여러 개 한 번에 들 수 있는 거 있어요? -> Keyword: 가방 (Latency: 3.517s, Tokens: [P:120, C:2, T:709])
Q: 보관해도 곰팡이 안 생기는 거 있어요? -> Keyword: 제습제 (Latency: 7.757s, Tokens: [P:122, C:3, T:1457])
Q: 긁힘 없이 닦이는 거 있어요? -> Keyword: 극세사 (Latency: 3.570s, Tokens: [P:118, C:3, T:705])
Q: 밤에 불 안 켜도 보이는 거 있어요? -> Keyword: 무드등 (Latency: 17.448s, Tokens: [P:120, C:3, T:3607])
Q: 자주 넘어지지 않는 거 있어요? -> Keyword: 넘어짐 방지 (Latency: 8.810s, Tokens: [P:117, C:5, T:1727])
Q: 먼지 덜 붙는 재질 있어요? -> Keyword: 재질 (Latency: 2.779s, Tokens: [P:119, C:2, T:524])
Q: 한 번에 정리 끝나는 거 있어요? -> Keyword: 정리 (Latency: 2.121s, Tokens: [P:118, C:2, T:439])
Q: 냄새랑 습기 같이 잡는 거 있어요? -> Keyword: 제습제 (Latency: 2.296s, Tokens: [P:120, C:3, T:500])
Q: 이동해도 내용물 안 섞이는 거 있어요? -> Keyword: 칸막이 용기 (Latency: 9.295s, Tokens: [P:121, C:5, T:1860])
Q: 열고 닫기 조용한 거 있어요? -> Keyword: 충격 방지 패드 (Latency: 12.485s, Tokens: [P:119, C:6, T:2270])
Q: 안에 뭐 들었는지 바로 보이는 거 있어요? -> Keyword: 투명 파우치 (Latency: 14.472s, Tokens: [P:120, C:5, T:2857])
Q: 눌러도 원래대로 돌아오는 거 있어요? -> Keyword: 말랑이 (Latency: 5.082s, Tokens: [P:119, C:3, T:1097])
Q: 뚜껑 안 잃어버리게 붙어 있는 거 있어요? -> Keyword: 물통 (Latency: 5.077s, Tokens: [P:124, C:2, T:972])
Q: 열어둬도 냄새 안 퍼지는 거 있어요? -> Keyword: 쓰레기통 (Latency: 4.417s, Tokens: [P:122, C:4, T:838])
Q: 세워놔도 안 넘어지는 거 있어요? -> Keyword: 거치대 (Latency: 2.578s, Tokens: [P:119, C:3, T:549])
Q: 손에 안 묻히고 버리는 거 있어요? -> Keyword: 배변봉투 (Latency: 10.902s, Tokens: [P:121, C:4, T:2386])
Q: 아이가 던져도 안 깨지는 거 있어요? -> Keyword: 어린이 식기 (Latency: 10.255s, Tokens: [P:120, C:5, T:1971])
Q: 열면 바로 쓸 수 있는 거 있어요? -> Keyword: 문구 (Latency: 14.086s, Tokens: [P:118, C:2, T:2726])
Q: 가방 안에서 자리 안 차지하는 거 있어요? -> Keyword: 가방 정리함 (Latency: 10.298s, Tokens: [P:120, C:4, T:1940])
Q: 냄새 안 섞이게 분리되는 거 있어요? -> Keyword: 분리 용기 (Latency: 9.016s, Tokens: [P:122, C:4, T:1486])
Q: 바람 불어도 안 날아가는 거 있어요? -> Keyword: 집게 (Latency: 7.549s, Tokens: [P:120, C:2, T:1566])
Q: 닫아두면 자동으로 잠기는 거 있어요? -> Keyword: 자동 잠금장치 (Latency: 6.181s, Tokens: [P:119, C:5, T:1159])
Q: 손 안 더럽히고 짜는 거 있어요? -> Keyword: 튜브 짜개 (Latency: 2.587s, Tokens: [P:120, C:3, T:473])
Q: 물기 있어도 붙는 거 있어요? -> Keyword: 접착제 (Latency: 8.245s, Tokens: [P:118, C:3, T:1479])
Q: 한 번 붙이면 오래 가는 거 있어요? -> Keyword: 접착제 (Latency: 4.802s, Tokens: [P:118, C:3, T:852])
Q: 여러 군데 쓸 수 있는 거 있어요? -> Keyword: 다용도 (Latency: 3.439s, Tokens: [P:118, C:3, T:702])
