Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 수건 (Latency: 0.757s, Tokens: [P:121, C:3, T:124])
Q: 아이가 혼자 써도 안전한 거 있어요? -> Keyword: 학용품 (Latency: 0.765s, Tokens: [P:119, C:4, T:123])
Q: 투명해서 안에 보이는 거 있어요? -> Keyword: 투명 케이스 (Latency: 0.672s, Tokens: [P:116, C:5, T:121])
Q: 걸어두면 공간 아끼는 거 있어요? -> Keyword: 압축팩 (Latency: 0.769s, Tokens: [P:119, C:4, T:123])
Q: 자석으로 붙는 거 있어요? -> Keyword: 자석 (Latency: 0.666s, Tokens: [P:116, C:3, T:119])
Q: 물에 담가도 되는 거 있어요? -> Keyword: 물건 (Latency: 0.671s, Tokens: [P:117, C:3, T:120])
Q: 기름 안 튀게 하는 거 있어요? -> Keyword: 기름방지망 (Latency: 0.783s, Tokens: [P:118, C:6, T:124])
Q: 손잡이 안 뜨거워지는 거 있어요? -> Keyword: 컵 (Latency: 0.681s, Tokens: [P:119, C:2, T:121])
Q: 냄새 배는 거 막는 거 있어요? -> Keyword: 탈취제 (Latency: 0.756s, Tokens: [P:118, C:4, T:122])
Q: 부드러운 촉감 나는 거 있어요? -> Keyword: 수세미 (Latency: 0.672s, Tokens: [P:118, C:4, T:122])
Q: 튀어나온 데 보호하는 거 있어요? -> Keyword: 모서리 보호대 (Latency: 0.778s, Tokens: [P:117, C:6, T:123])
Q: 자주 안 더러워지는 거 있어요? -> Keyword: 행주 (Latency: 0.761s, Tokens: [P:118, C:3, T:121])
Q: 쉽게 찢어지지 않는 거 있어요? -> Keyword: 봉투 (Latency: 0.757s, Tokens: [P:118, C:3, T:121])
Q: 끈적임 없이 고정되는 거 있어요? -> Keyword: 헤어스프레이 (Latency: 0.766s, Tokens: [P:118, C:6, T:124])
Q: 접착 말고 다른 방식으로 고정되는 거 있어요? -> Keyword: 고정 (Latency: 0.668s, Tokens: [P:119, C:3, T:122])
Q: 손에 힘 안 줘도 되는 거 있어요? -> Keyword: 힘 안 줘도 되는 거 (Latency: 0.669s, Tokens: [P:119, C:8, T:127])
Q: 바람 막아주는 거 있어요? -> Keyword: 바람막이 (Latency: 0.785s, Tokens: [P:116, C:5, T:121])
Q: 햇빛 가려주는 거 있어요? -> Keyword: 햇빛가리개 (Latency: 0.740s, Tokens: [P:116, C:6, T:122])
Q: 습기 줄여주는 거 있어요? -> Keyword: 제습제 (Latency: 0.761s, Tokens: [P:116, C:4, T:120])
Q: 냄새 섞이지 않게 하는 거 있어요? -> Keyword: 향수 (Latency: 0.760s, Tokens: [P:119, C:3, T:122])
Q: 쉽게 들고 다닐 수 있는 거 있어요? -> Keyword: 가방 (Latency: 0.664s, Tokens: [P:119, C:3, T:122])
Q: 바퀴 안 굴러가게 하는 거 있어요? -> Keyword: 바퀴 (Latency: 0.760s, Tokens: [P:120, C:3, T:123])
Q: 물 얼룩 안 남는 거 있어요? -> Keyword: 물 얼룩 제거제 (Latency: 0.681s, Tokens: [P:117, C:6, T:123])
Q: 손에 묻지 않게 쓰는 거 있어요? -> Keyword: 풀 (Latency: 0.662s, Tokens: [P:119, C:2, T:121])
Q: 애 손 안 닿게 하는 거 있어요? -> Keyword: 안전 장치 (Latency: 0.674s, Tokens: [P:118, C:5, T:123])
Q: 쉽게 접었다 펼 수 있는 거 있어요? -> Keyword: 돗자리 (Latency: 0.761s, Tokens: [P:118, C:3, T:121])
Q: 긁혀도 티 안 나는 거 있어요? -> Keyword: 흠집 제거제 (Latency: 0.670s, Tokens: [P:117, C:5, T:122])
Q: 눌러도 소리 안 나는 거 있어요? -> Keyword: 볼펜 (Latency: 0.668s, Tokens: [P:118, C:3, T:121])
Q: 물에 젖어도 미끄럽지 않은 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 0.675s, Tokens: [P:121, C:8, T:129])
Q: 한 번 사두면 오래 쓰는 거 있어요? -> Keyword: 제품 (Latency: 0.633s, Tokens: [P:118, C:2, T:120])
Q: 열어두면 자동으로 닫히는 거 있어요? -> Keyword: 자동 닫힘 장치 (Latency: 0.779s, Tokens: [P:120, C:7, T:127])
Q: 안 보이게 가릴 수 있는 거 있어요? -> Keyword: 가리개 (Latency: 0.669s, Tokens: [P:118, C:4, T:122])
Q: 물기 많은 데 놔도 되는 거 있어요? -> Keyword: 물건 (Latency: 0.671s, Tokens: [P:119, C:3, T:122])
Q: 작은 물건 안 흩어지게 하는 거 있어요? -> Keyword: 정리함 (Latency: 0.672s, Tokens: [P:122, C:4, T:126])
Q: 손 안 베이게 하는 거 있어요? -> Keyword: 칼 (Latency: 0.664s, Tokens: [P:117, C:2, T:119])
Q: 냄새 새는 거 막는 거 있어요? -> Keyword: 방향제 (Latency: 0.766s, Tokens: [P:118, C:4, T:122])
Q: 열면 자동으로 불 켜지는 거 있어요? -> Keyword: 조명 (Latency: 0.672s, Tokens: [P:118, C:3, T:121])
Q: 쉽게 닦이는 표면이에요? -> Keyword: 행주 (Latency: 0.759s, Tokens: [P:117, C:3, T:120])
Q: 무게 가벼운 거 있어요? -> Keyword: 가벼운 것 (Latency: 0.662s, Tokens: [P:116, C:5, T:121])
Q: 흔들리지 않게 세워두는 거 있어요? -> Keyword: 거치대 (Latency: 0.677s, Tokens: [P:120, C:4, T:124])
Q: 눕혀놔도 안 쏟아지는 거 있어요? -> Keyword: 컵 (Latency: 0.762s, Tokens: [P:120, C:2, T:122])
Q: 전기 없이 쓰는 거 있어요? -> Keyword: 가습기 (Latency: 0.764s, Tokens: [P:115, C:4, T:119])
Q: 열 차단 잘 되는 거 있어요? -> Keyword: 단열시트 (Latency: 0.673s, Tokens: [P:116, C:5, T:121])
Q: 물 튀겨도 고장 안 나는 거 있어요? -> Keyword: 방수 제품 (Latency: 0.761s, Tokens: [P:120, C:4, T:124])
Q: 손목 안 아프게 쓰는 거 있어요? -> Keyword: 손목 보호대 (Latency: 0.649s, Tokens: [P:118, C:5, T:123])
Q: 땀 차지 않게 하는 거 있어요? -> Keyword: 땀흡수패드 (Latency: 0.714s, Tokens: [P:116, C:6, T:122])
Q: 애가 열 수 없게 하는 거 있어요? -> Keyword: 안전 잠금 장치 (Latency: 0.732s, Tokens: [P:118, C:7, T:125])
Q: 쉽게 부서지지 않는 거 있어요? -> Keyword: 깨지지 않는 물건 (Latency: 0.763s, Tokens: [P:117, C:6, T:123])
Q: 여러 개 한 번에 들 수 있는 거 있어요? -> Keyword: 장바구니 (Latency: 0.667s, Tokens: [P:119, C:5, T:124])
Q: 보관해도 곰팡이 안 생기는 거 있어요? -> Keyword: 곰팡이 방지 보관 용기 (Latency: 0.757s, Tokens: [P:121, C:10, T:131])
Q: 긁힘 없이 닦이는 거 있어요? -> Keyword: 수세미 (Latency: 0.761s, Tokens: [P:117, C:4, T:121])
Q: 밤에 불 안 켜도 보이는 거 있어요? -> Keyword: 야광 스티커 (Latency: 0.760s, Tokens: [P:119, C:6, T:125])
Q: 자주 넘어지지 않는 거 있어요? -> Keyword: 미끄럼 방지 용품 (Latency: 0.769s, Tokens: [P:116, C:8, T:124])
Q: 먼지 덜 붙는 재질 있어요? -> Keyword: 먼지떨이 (Latency: 0.673s, Tokens: [P:118, C:5, T:123])
Q: 한 번에 정리 끝나는 거 있어요? -> Keyword: 정리함 (Latency: 0.662s, Tokens: [P:117, C:4, T:121])
Q: 냄새랑 습기 같이 잡는 거 있어요? -> Keyword: 탈취제 (Latency: 0.575s, Tokens: [P:119, C:4, T:123])
Q: 이동해도 내용물 안 섞이는 거 있어요? -> Keyword: 도시락 (Latency: 0.715s, Tokens: [P:120, C:3, T:123])
Q: 열고 닫기 조용한 거 있어요? -> Keyword: 서랍 (Latency: 0.651s, Tokens: [P:118, C:3, T:121])
Q: 안에 뭐 들었는지 바로 보이는 거 있어요? -> Keyword: 정리함 (Latency: 0.726s, Tokens: [P:119, C:4, T:123])
Q: 눌러도 원래대로 돌아오는 거 있어요? -> Keyword: 스프링 (Latency: 0.653s, Tokens: [P:118, C:4, T:122])
Q: 뚜껑 안 잃어버리게 붙어 있는 거 있어요? -> Keyword: 뚜껑 (Latency: 0.677s, Tokens: [P:123, C:3, T:126])
Q: 열어둬도 냄새 안 퍼지는 거 있어요? -> Keyword: 방향제 (Latency: 0.682s, Tokens: [P:121, C:4, T:125])
Q: 세워놔도 안 넘어지는 거 있어요? -> Keyword: 넘어지지 않는 물건 (Latency: 0.768s, Tokens: [P:118, C:7, T:125])
Q: 손에 안 묻히고 버리는 거 있어요? -> Keyword: 쓰레기 봉투 (Latency: 0.666s, Tokens: [P:120, C:6, T:126])
Q: 아이가 던져도 안 깨지는 거 있어요? -> Keyword: 컵 (Latency: 0.662s, Tokens: [P:119, C:2, T:121])
Q: 열면 바로 쓸 수 있는 거 있어요? -> Keyword: 즉석밥 (Latency: 0.662s, Tokens: [P:117, C:4, T:121])
Q: 가방 안에서 자리 안 차지하는 거 있어요? -> Keyword: 가방 (Latency: 0.677s, Tokens: [P:119, C:3, T:122])
Q: 냄새 안 섞이게 분리되는 거 있어요? -> Keyword: 분리 용기 (Latency: 0.673s, Tokens: [P:121, C:5, T:126])
Q: 바람 불어도 안 날아가는 거 있어요? -> Keyword: 모자 (Latency: 0.761s, Tokens: [P:119, C:3, T:122])
Q: 닫아두면 자동으로 잠기는 거 있어요? -> Keyword: 자물쇠 (Latency: 0.665s, Tokens: [P:118, C:4, T:122])
Q: 손 안 더럽히고 짜는 거 있어요? -> Keyword: 짜개 (Latency: 0.665s, Tokens: [P:119, C:3, T:122])
Q: 물기 있어도 붙는 거 있어요? -> Keyword: 테이프 (Latency: 0.756s, Tokens: [P:117, C:4, T:121])
Q: 한 번 붙이면 오래 가는 거 있어요? -> Keyword: 접착제 (Latency: 0.672s, Tokens: [P:117, C:4, T:121])
Q: 여러 군데 쓸 수 있는 거 있어요? -> Keyword: 다용도 제품 (Latency: 0.662s, Tokens: [P:117, C:5, T:122])
