🧪 Kiosk Logic Verification Report (5-Type Robustness)
Date: 2026-01-20 15:44:19
Target: Verify if AI maps varied queries to correct 'Category Major'.
===========================================================================================================================================================
Target Product            | Type         | Query                               | Expected Major     | Actual Major       | Result
규조토 발매트 (M)               | 4. Brand     | 다이소 규조토 발매트 (M) 어딨죠?                | 욕실용품               | 욕실용품               | ✅
규조토 발매트 (M)               | 5. Part      | 규조토 발매트 (M) 리필이나 부속품 있나요?           | 욕실용품               | 욕실용품               | ✅
접이형 수납 바구니 중형             | 1. Basic     | 접이형 수납 바구니 중형 어디 있어요?               | 수납/정리              | 수납/정리              | ✅
접이형 수납 바구니 중형             | 2. Attribute | 큰 접이형 수납 바구니 중형 찾아요                 | 수납/정리              | 수납/정리              | ✅
접이형 수납 바구니 중형             | 3. Alias     | 접이형 수납 바구니 중형 같은거 있어요?              | 수납/정리              | 수납/정리              | ✅
접이형 수납 바구니 중형             | 4. Brand     | 다이소 접이형 수납 바구니 중형 어딨죠?              | 수납/정리              | 수납/정리              | ✅
접이형 수납 바구니 중형             | 5. Part      | 접이형 수납 바구니 중형 리필이나 부속품 있나요?         | 수납/정리              | 수납/정리              | ✅
태그 슬림브로우펜슬(2호_애쉬브라운)      | 1. Basic     | 태그 슬림브로우펜슬(2호_애쉬브라운) 어디 있어요?        | 기타                 | 기타                 | ✅
태그 슬림브로우펜슬(2호_애쉬브라운)      | 2. Attribute | 큰 태그 슬림브로우펜슬(2호_애쉬브라운) 찾아요          | 기타                 | 기타                 | ✅
태그 슬림브로우펜슬(2호_애쉬브라운)      | 3. Alias     | 태그 슬림브로우펜슬(2호_애쉬브라운) 같은거 있어요?       | 기타                 | 기타                 | ✅
태그 슬림브로우펜슬(2호_애쉬브라운)      | 4. Brand     | 다이소 태그 슬림브로우펜슬(2호_애쉬브라운) 어딨죠?       | 기타                 | 기타                 | ✅
태그 슬림브로우펜슬(2호_애쉬브라운)      | 5. Part      | 태그 슬림브로우펜슬(2호_애쉬브라운) 리필이나 부속품 있나요?  | 기타                 | 기타                 | ✅
스텐 배수구 거름망                | 1. Basic     | 스텐 배수구 거름망 어디 있어요?                  | 주방용품               | 주방용품               | ✅
스텐 배수구 거름망                | 2. Attribute | 큰 스텐 배수구 거름망 찾아요                    | 주방용품               | 주방용품               | ✅
스텐 배수구 거름망                | 3. Alias     | 스텐 배수구 거름망 같은거 있어요?                 | 주방용품               | 주방용품               | ✅
스텐 배수구 거름망                | 4. Brand     | 다이소 스텐 배수구 거름망 어딨죠?                 | 주방용품               | 주방용품               | ✅
스텐 배수구 거름망                | 5. Part      | 스텐 배수구 거름망 리필이나 부속품 있나요?            | 주방용품               | 주방용품               | ✅
스테인리스 원형 수세미              | 1. Basic     | 스테인리스 원형 수세미 어디 있어요?                | 주방용품               | 주방용품               | ✅
스테인리스 원형 수세미              | 2. Attribute | 큰 스테인리스 원형 수세미 찾아요                  | 주방용품               | 주방용품               | ✅
스테인리스 원형 수세미              | 3. Alias     | 스테인리스 원형 수세미 같은거 있어요?               | 주방용품               | 주방용품               | ✅
스테인리스 원형 수세미              | 4. Brand     | 다이소 스테인리스 원형 수세미 어딨죠?               | 주방용품               | 주방용품               | ✅
스테인리스 원형 수세미              | 5. Part      | 스테인리스 원형 수세미 리필이나 부속품 있나요?          | 주방용품               | 주방용품               | ✅
초강력 순간접착제 (젤타입)           | 1. Basic     | 초강력 순간접착제 (젤타입) 어디 있어요?             | 문구/팬시              | 문구/팬시              | ✅
초강력 순간접착제 (젤타입)           | 2. Attribute | 큰 초강력 순간접착제 (젤타입) 찾아요               | 문구/팬시              | 문구/팬시              | ✅
초강력 순간접착제 (젤타입)           | 3. Alias     | 초강력 순간접착제 (젤타입) 같은거 있어요?            | 문구/팬시              | 문구/팬시              | ✅
초강력 순간접착제 (젤타입)           | 4. Brand     | 다이소 초강력 순간접착제 (젤타입) 어딨죠?            | 문구/팬시              | 문구/팬시              | ✅
초강력 순간접착제 (젤타입)           | 5. Part      | 초강력 순간접착제 (젤타입) 리필이나 부속품 있나요?       | 문구/팬시              | 문구/팬시              | ✅
더랩 바이 블랑두 클리어 히알 물광 틴티드 커 | 1. Basic     | 더랩 바이 블랑두 클리어 히알 물광 틴티드 커버 크림 40 ml | 뷰티/위생              | 뷰티/위생              | ✅
더랩 바이 블랑두 클리어 히알 물광 틴티드 커 | 2. Attribute | 큰 더랩 바이 블랑두 클리어 히알 물광 틴티드 커버 크림 40  | 뷰티/위생              | 뷰티/위생              | ✅
더랩 바이 블랑두 클리어 히알 물광 틴티드 커 | 3. Alias     | 더랩 바이 블랑두 클리어 히알 물광 틴티드 커버 크림 40 ml | 뷰티/위생              | 뷰티/위생              | ✅
더랩 바이 블랑두 클리어 히알 물광 틴티드 커 | 4. Brand     | 다이소 더랩 바이 블랑두 클리어 히알 물광 틴티드 커버 크림 4 | 뷰티/위생              | 뷰티/위생              | ✅
더랩 바이 블랑두 클리어 히알 물광 틴티드 커 | 5. Part      | 더랩 바이 블랑두 클리어 히알 물광 틴티드 커버 크림 40 ml | 뷰티/위생              | 뷰티/위생              | ✅
한 입 100% 베이킹소다 수 400ml    | 1. Basic     | 한 입 100% 베이킹소다 수 400ml 어디 있어요?      | 기타                 | 기타                 | ✅
한 입 100% 베이킹소다 수 400ml    | 2. Attribute | 큰 한 입 100% 베이킹소다 수 400ml 찾아요        | 기타                 | 기타                 | ✅
한 입 100% 베이킹소다 수 400ml    | 3. Alias     | 한 입 100% 베이킹소다 수 400ml 같은거 있어요?     | 기타                 | 기타                 | ✅
한 입 100% 베이킹소다 수 400ml    | 4. Brand     | 다이소 한 입 100% 베이킹소다 수 400ml 어딨죠?     | 기타                 | 기타                 | ✅
한 입 100% 베이킹소다 수 400ml    | 5. Part      | 한 입 100% 베이킹소다 수 400ml 리필이나 부속품 있나요 | 기타                 | 기타                 | ✅
롱 열전도 헤어 컬 50 mm          | 1. Basic     | 롱 열전도 헤어 컬 50 mm 어디 있어요?            | 기타                 | 기타                 | ✅
롱 열전도 헤어 컬 50 mm          | 2. Attribute | 큰 롱 열전도 헤어 컬 50 mm 찾아요              | 기타                 | 기타                 | ✅
롱 열전도 헤어 컬 50 mm          | 3. Alias     | 롱 열전도 헤어 컬 50 mm 같은거 있어요?           | 기타                 | 기타                 | ✅
롱 열전도 헤어 컬 50 mm          | 4. Brand     | 다이소 롱 열전도 헤어 컬 50 mm 어딨죠?           | 기타                 | 기타                 | ✅
롱 열전도 헤어 컬 50 mm          | 5. Part      | 롱 열전도 헤어 컬 50 mm 리필이나 부속품 있나요?      | 기타                 | 기타                 | ✅
네오셀 알카라인 건전지 LR6 AA 16개입  | 1. Basic     | 네오셀 알카라인 건전지 LR6 AA 16개입 어디 있어요?    | 공구/디지털             | 공구/디지털             | ✅
네오셀 알카라인 건전지 LR6 AA 16개입  | 2. Attribute | 큰 네오셀 알카라인 건전지 LR6 AA 16개입 찾아요      | 공구/디지털             | 공구/디지털             | ✅
네오셀 알카라인 건전지 LR6 AA 16개입  | 3. Alias     | 네오셀 알카라인 건전지 LR6 AA 16개입 같은거 있어요?   | 공구/디지털             | 공구/디지털             | ✅
네오셀 알카라인 건전지 LR6 AA 16개입  | 4. Brand     | 다이소 네오셀 알카라인 건전지 LR6 AA 16개입 어딨죠?   | 공구/디지털             | 공구/디지털             | ✅
네오셀 알카라인 건전지 LR6 AA 16개입  | 5. Part      | 네오셀 알카라인 건전지 LR6 AA 16개입 리필이나 부속품 있 | 공구/디지털             | 공구/디지털             | ✅
유리 닦이 전용 극세사 걸레 2P        | 1. Basic     | 유리 닦이 전용 극세사 걸레 2P 어디 있어요?          | 청소/욕실              | 청소/욕실              | ✅
유리 닦이 전용 극세사 걸레 2P        | 2. Attribute | 큰 유리 닦이 전용 극세사 걸레 2P 찾아요            | 청소/욕실              | 청소/욕실              | ✅
유리 닦이 전용 극세사 걸레 2P        | 3. Alias     | 유리 닦이 전용 극세사 걸레 2P 같은거 있어요?         | 청소/욕실              | 청소/욕실              | ✅
유리 닦이 전용 극세사 걸레 2P        | 4. Brand     | 다이소 유리 닦이 전용 극세사 걸레 2P 어딨죠?         | 청소/욕실              | 청소/욕실              | ✅
유리 닦이 전용 극세사 걸레 2P        | 5. Part      | 유리 닦이 전용 극세사 걸레 2P 리필이나 부속품 있나요?    | 청소/욕실              | 청소/욕실              | ✅
스팀베이스 데일리 아이워머 무화과 향      | 1. Basic     | 스팀베이스 데일리 아이워머 무화과 향 어디 있어요?        | 기타                 | 기타                 | ✅
스팀베이스 데일리 아이워머 무화과 향      | 2. Attribute | 큰 스팀베이스 데일리 아이워머 무화과 향 찾아요          | 기타                 | 기타                 | ✅
스팀베이스 데일리 아이워머 무화과 향      | 3. Alias     | 스팀베이스 데일리 아이워머 무화과 향 같은거 있어요?       | 기타                 | 기타                 | ✅
스팀베이스 데일리 아이워머 무화과 향      | 4. Brand     | 다이소 스팀베이스 데일리 아이워머 무화과 향 어딨죠?       | 기타                 | 기타                 | ✅
스팀베이스 데일리 아이워머 무화과 향      | 5. Part      | 스팀베이스 데일리 아이워머 무화과 향 리필이나 부속품 있나요?  | 기타                 | 기타                 | ✅
2채널 유선 스피커 LED 스피커        | 1. Basic     | 2채널 유선 스피커 LED 스피커 어디 있어요?          | 기타                 | 기타                 | ✅
2채널 유선 스피커 LED 스피커        | 2. Attribute | 큰 2채널 유선 스피커 LED 스피커 찾아요            | 기타                 | 기타                 | ✅
2채널 유선 스피커 LED 스피커        | 3. Alias     | 2채널 유선 스피커 LED 스피커 같은거 있어요?         | 기타                 | 기타                 | ✅
2채널 유선 스피커 LED 스피커        | 4. Brand     | 다이소 2채널 유선 스피커 LED 스피커 어딨죠?         | 기타                 | 기타                 | ✅
2채널 유선 스피커 LED 스피커        | 5. Part      | 2채널 유선 스피커 LED 스피커 리필이나 부속품 있나요?    | 기타                 | 기타                 | ✅
퍼피 광채쿠션 워터퍼프              | 1. Basic     | 퍼피 광채쿠션 워터퍼프 어디 있어요?                | 뷰티/위생              | 뷰티/위생              | ✅
퍼피 광채쿠션 워터퍼프              | 2. Attribute | 큰 퍼피 광채쿠션 워터퍼프 찾아요                  | 뷰티/위생              | 뷰티/위생              | ✅
퍼피 광채쿠션 워터퍼프              | 3. Alias     | 퍼피 광채쿠션 워터퍼프 같은거 있어요?               | 뷰티/위생              | 뷰티/위생              | ✅
퍼피 광채쿠션 워터퍼프              | 4. Brand     | 다이소 퍼피 광채쿠션 워터퍼프 어딨죠?               | 뷰티/위생              | 뷰티/위생              | ✅
퍼피 광채쿠션 워터퍼프              | 5. Part      | 퍼피 광채쿠션 워터퍼프 리필이나 부속품 있나요?          | 뷰티/위생              | 뷰티/위생              | ✅
극세사 걸레 (3매입)              | 1. Basic     | 극세사 걸레 (3매입) 어디 있어요?                | 청소용품               | 청소/욕실              | ❌
극세사 걸레 (3매입)              | 2. Attribute | 큰 극세사 걸레 (3매입) 찾아요                  | 청소용품               | 청소/욕실              | ❌
극세사 걸레 (3매입)              | 3. Alias     | 극세사 걸레 (3매입) 같은거 있어요?               | 청소용품               | 청소/욕실              | ❌
극세사 걸레 (3매입)              | 4. Brand     | 다이소 극세사 걸레 (3매입) 어딨죠?               | 청소용품               | 청소/욕실              | ❌
극세사 걸레 (3매입)              | 5. Part      | 극세사 걸레 (3매입) 리필이나 부속품 있나요?          | 청소용품               | 청소/욕실              | ❌
삼각 모서리 집게 클립 4개입          | 1. Basic     | 삼각 모서리 집게 클립 4개입 어디 있어요?            | 뷰티/위생              | 뷰티/위생              | ✅
삼각 모서리 집게 클립 4개입          | 2. Attribute | 큰 삼각 모서리 집게 클립 4개입 찾아요              | 뷰티/위생              | 뷰티/위생              | ✅
삼각 모서리 집게 클립 4개입          | 3. Alias     | 삼각 모서리 집게 클립 4개입 같은거 있어요?           | 뷰티/위생              | 뷰티/위생              | ✅
삼각 모서리 집게 클립 4개입          | 4. Brand     | 다이소 삼각 모서리 집게 클립 4개입 어딨죠?           | 뷰티/위생              | 뷰티/위생              | ✅
삼각 모서리 집게 클립 4개입          | 5. Part      | 삼각 모서리 집게 클립 4개입 리필이나 부속품 있나요?      | 뷰티/위생              | 뷰티/위생              | ✅
클리어 리빙 박스 대형              | 1. Basic     | 클리어 리빙 박스 대형 어디 있어요?                | 기타                 | 기타                 | ✅
클리어 리빙 박스 대형              | 2. Attribute | 큰 클리어 리빙 박스 대형 찾아요                  | 기타                 | 기타                 | ✅
클리어 리빙 박스 대형              | 3. Alias     | 클리어 리빙 박스 대형 같은거 있어요?               | 기타                 | 기타                 | ✅
클리어 리빙 박스 대형              | 4. Brand     | 다이소 클리어 리빙 박스 대형 어딨죠?               | 기타                 | 기타                 | ✅
클리어 리빙 박스 대형              | 5. Part      | 클리어 리빙 박스 대형 리필이나 부속품 있나요?          | 기타                 | 기타                 | ✅
매직스펀지 (대용량/큐브형)           | 1. Basic     | 매직스펀지 (대용량/큐브형) 어디 있어요?             | 청소/욕실              | 청소/욕실              | ✅
매직스펀지 (대용량/큐브형)           | 2. Attribute | 큰 매직스펀지 (대용량/큐브형) 찾아요               | 청소/욕실              | 청소/욕실              | ✅
매직스펀지 (대용량/큐브형)           | 3. Alias     | 매직스펀지 (대용량/큐브형) 같은거 있어요?            | 청소/욕실              | 청소/욕실              | ✅
매직스펀지 (대용량/큐브형)           | 4. Brand     | 다이소 매직스펀지 (대용량/큐브형) 어딨죠?            | 청소/욕실              | 청소/욕실              | ✅
매직스펀지 (대용량/큐브형)           | 5. Part      | 매직스펀지 (대용량/큐브형) 리필이나 부속품 있나요?       | 청소/욕실              | 청소/욕실              | ✅
네일전용 미니 화장솜               | 1. Basic     | 네일전용 미니 화장솜 어디 있어요?                 | 뷰티/위생              | 뷰티/위생              | ✅
네일전용 미니 화장솜               | 2. Attribute | 큰 네일전용 미니 화장솜 찾아요                   | 뷰티/위생              | 뷰티/위생              | ✅
네일전용 미니 화장솜               | 3. Alias     | 네일전용 미니 화장솜 같은거 있어요?                | 뷰티/위생              | 뷰티/위생              | ✅
네일전용 미니 화장솜               | 4. Brand     | 다이소 네일전용 미니 화장솜 어딨죠?                | 뷰티/위생              | 뷰티/위생              | ✅
네일전용 미니 화장솜               | 5. Part      | 네일전용 미니 화장솜 리필이나 부속품 있나요?           | 뷰티/위생              | 뷰티/위생              | ✅
본셉 비타씨 미백샷 바디괄사 세럼 100 ml | 1. Basic     | 본셉 비타씨 미백샷 바디괄사 세럼 100 ml 어디 있어요?   | 뷰티/위생              | 뷰티/위생              | ✅
본셉 비타씨 미백샷 바디괄사 세럼 100 ml | 2. Attribute | 큰 본셉 비타씨 미백샷 바디괄사 세럼 100 ml 찾아요     | 뷰티/위생              | 뷰티/위생              | ✅
본셉 비타씨 미백샷 바디괄사 세럼 100 ml | 3. Alias     | 본셉 비타씨 미백샷 바디괄사 세럼 100 ml 같은거 있어요?  | 뷰티/위생              | 뷰티/위생              | ✅
본셉 비타씨 미백샷 바디괄사 세럼 100 ml | 4. Brand     | 다이소 본셉 비타씨 미백샷 바디괄사 세럼 100 ml 어딨죠?  | 뷰티/위생              | 뷰티/위생              | ✅
본셉 비타씨 미백샷 바디괄사 세럼 100 ml | 5. Part      | 본셉 비타씨 미백샷 바디괄사 세럼 100 ml 리필이나 부속품  | 뷰티/위생              | 뷰티/위생              | ✅
오아오 딥리치 큐티클 세럼 9 ml       | 1. Basic     | 오아오 딥리치 큐티클 세럼 9 ml 어디 있어요?         | 뷰티/위생              | 뷰티/위생              | ✅
오아오 딥리치 큐티클 세럼 9 ml       | 2. Attribute | 큰 오아오 딥리치 큐티클 세럼 9 ml 찾아요           | 뷰티/위생              | 뷰티/위생              | ✅
오아오 딥리치 큐티클 세럼 9 ml       | 3. Alias     | 오아오 딥리치 큐티클 세럼 9 ml 같은거 있어요?        | 뷰티/위생              | 뷰티/위생              | ✅
오아오 딥리치 큐티클 세럼 9 ml       | 4. Brand     | 다이소 오아오 딥리치 큐티클 세럼 9 ml 어딨죠?        | 뷰티/위생              | 뷰티/위생              | ✅
오아오 딥리치 큐티클 세럼 9 ml       | 5. Part      | 오아오 딥리치 큐티클 세럼 9 ml 리필이나 부속품 있나요?   | 뷰티/위생              | 뷰티/위생              | ✅
리빙 소프트팩 티슈 150매X3입        | 1. Basic     | 리빙 소프트팩 티슈 150매X3입 어디 있어요?          | 뷰티/위생              | 뷰티/위생              | ✅
리빙 소프트팩 티슈 150매X3입        | 2. Attribute | 큰 리빙 소프트팩 티슈 150매X3입 찾아요            | 뷰티/위생              | 뷰티/위생              | ✅
리빙 소프트팩 티슈 150매X3입        | 3. Alias     | 리빙 소프트팩 티슈 150매X3입 같은거 있어요?         | 뷰티/위생              | 뷰티/위생              | ✅
리빙 소프트팩 티슈 150매X3입        | 4. Brand     | 다이소 리빙 소프트팩 티슈 150매X3입 어딨죠?         | 뷰티/위생              | 뷰티/위생              | ✅
리빙 소프트팩 티슈 150매X3입        | 5. Part      | 리빙 소프트팩 티슈 150매X3입 리필이나 부속품 있나요?    | 뷰티/위생              | 뷰티/위생              | ✅
단색 펠트바닥 의자발 커버 4개입        | 1. Basic     | 단색 펠트바닥 의자발 커버 4개입 어디 있어요?          | 문구/팬시              | 문구/팬시              | ✅
단색 펠트바닥 의자발 커버 4개입        | 2. Attribute | 큰 단색 펠트바닥 의자발 커버 4개입 찾아요            | 문구/팬시              | 문구/팬시              | ✅
단색 펠트바닥 의자발 커버 4개입        | 3. Alias     | 단색 펠트바닥 의자발 커버 4개입 같은거 있어요?         | 문구/팬시              | 문구/팬시              | ✅
단색 펠트바닥 의자발 커버 4개입        | 4. Brand     | 다이소 단색 펠트바닥 의자발 커버 4개입 어딨죠?         | 문구/팬시              | 문구/팬시              | ✅
단색 펠트바닥 의자발 커버 4개입        | 5. Part      | 단색 펠트바닥 의자발 커버 4개입 리필이나 부속품 있나요?    | 문구/팬시              | 문구/팬시              | ✅
필터 샤워헤드 전용 리필 필터 3개입      | 1. Basic     | 필터 샤워헤드 전용 리필 필터 3개입 어디 있어요?        | 반려동물               | 반려동물               | ✅
필터 샤워헤드 전용 리필 필터 3개입      | 2. Attribute | 큰 필터 샤워헤드 전용 리필 필터 3개입 찾아요          | 반려동물               | 반려동물               | ✅
필터 샤워헤드 전용 리필 필터 3개입      | 3. Alias     | 필터 샤워헤드 전용 리필 필터 3개입 같은거 있어요?       | 반려동물               | 반려동물               | ✅
필터 샤워헤드 전용 리필 필터 3개입      | 4. Brand     | 다이소 필터 샤워헤드 전용 리필 필터 3개입 어딨죠?       | 반려동물               | 반려동물               | ✅
필터 샤워헤드 전용 리필 필터 3개입      | 5. Part      | 필터 샤워헤드 전용 리필 필터 3개입 리필이나 부속품 있나요?  | 반려동물               | 반려동물               | ✅
페리오 뉴후레쉬 알파치약 (190 g)     | 1. Basic     | 페리오 뉴후레쉬 알파치약 (190 g) 어디 있어요?       | 뷰티/위생              | 뷰티/위생              | ✅
페리오 뉴후레쉬 알파치약 (190 g)     | 2. Attribute | 큰 페리오 뉴후레쉬 알파치약 (190 g) 찾아요         | 뷰티/위생              | 뷰티/위생              | ✅
페리오 뉴후레쉬 알파치약 (190 g)     | 3. Alias     | 페리오 뉴후레쉬 알파치약 (190 g) 같은거 있어요?      | 뷰티/위생              | 뷰티/위생              | ✅
페리오 뉴후레쉬 알파치약 (190 g)     | 4. Brand     | 다이소 페리오 뉴후레쉬 알파치약 (190 g) 어딨죠?      | 뷰티/위생              | 뷰티/위생              | ✅
페리오 뉴후레쉬 알파치약 (190 g)     | 5. Part      | 페리오 뉴후레쉬 알파치약 (190 g) 리필이나 부속품 있나요? | 뷰티/위생              | 뷰티/위생              | ✅
배수구 뻥 (1L)                | 1. Basic     | 배수구 뻥 (1L) 어디 있어요?                  | 청소/욕실              | 기타                 | ❌
배수구 뻥 (1L)                | 2. Attribute | 큰 배수구 뻥 (1L) 찾아요                    | 청소/욕실              | 기타                 | ❌
배수구 뻥 (1L)                | 3. Alias     | 배수구 뻥 (1L) 같은거 있어요?                 | 청소/욕실              | 기타                 | ❌
배수구 뻥 (1L)                | 4. Brand     | 다이소 배수구 뻥 (1L) 어딨죠?                 | 청소/욕실              | 기타                 | ❌
배수구 뻥 (1L)                | 5. Part      | 배수구 뻥 (1L) 리필이나 부속품 있나요?            | 청소/욕실              | 기타                 | ❌
김장 비닐 대형 3장               | 1. Basic     | 김장 비닐 대형 3장 어디 있어요?                 | 기타                 | 기타                 | ✅
김장 비닐 대형 3장               | 2. Attribute | 큰 김장 비닐 대형 3장 찾아요                   | 기타                 | 기타                 | ✅
김장 비닐 대형 3장               | 3. Alias     | 김장 비닐 대형 3장 같은거 있어요?                | 기타                 | 기타                 | ✅
김장 비닐 대형 3장               | 4. Brand     | 다이소 김장 비닐 대형 3장 어딨죠?                | 기타                 | 기타                 | ✅
김장 비닐 대형 3장               | 5. Part      | 김장 비닐 대형 3장 리필이나 부속품 있나요?           | 기타                 | 기타                 | ✅
-----------------------------------------------------------------------------------------------------------------------------------------------------------
Total Success Rate: 136/150 (90.7%)
